       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
          1 27 May 2025 11:29:02     -0.241    11.0612   0.096933     0.2432 8.0113e+02    349.769    101.666     -0.239     0.0634    -0.3493    1451.51 0.0000e+00
          2 27 May 2025 11:29:04     -0.241    11.0621   0.098117     0.2184 8.0306e+02    349.856    101.696     -0.239     0.0641    -0.3488    1451.52 0.0000e+00
          3 27 May 2025 11:29:04     -0.241    11.0629   0.098934     0.2356 8.0148e+02    349.893    101.708     -0.238     0.0646    -0.3485    1451.52 0.0000e+00
          4 27 May 2025 11:29:04     -0.240    11.0632   0.099354     0.1993 8.0693e+02    349.786    101.676     -0.238     0.0649    -0.3483    1451.52 0.0000e+00
          5 27 May 2025 11:29:04     -0.239    11.0628   0.099416     0.1936 7.8571e+02    349.721    101.657     -0.237     0.0649    -0.3482    1451.52 0.0000e+00
          6 27 May 2025 11:29:04     -0.238    11.0616   0.099240     0.2432 7.8468e+02    349.752    101.666     -0.236     0.0648    -0.3482    1451.52 0.0000e+00
          7 27 May 2025 11:29:05     -0.238    11.0600   0.099052     0.2432 7.9991e+02    349.757    101.666     -0.235     0.0647    -0.3481    1451.51 0.0000e+00
          8 27 May 2025 11:29:05     -0.237    11.0580   0.098988     0.2127 7.9399e+02    349.619    101.628     -0.235     0.0647    -0.3479    1451.50 0.0000e+00
          9 27 May 2025 11:29:05     -0.236    11.0560   0.098950     0.2337 7.9347e+02    349.852    101.697     -0.234     0.0647    -0.3477    1451.50 0.0000e+00
         10 27 May 2025 11:29:05     -0.235    11.0543   0.098865     0.2184 7.8881e+02    349.748    101.668     -0.233     0.0646    -0.3476    1451.49 0.0000e+00
         11 27 May 2025 11:29:05     -0.235    11.0532   0.098746     0.2298 7.8743e+02    349.745    101.668     -0.233     0.0645    -0.3476    1451.48 0.0000e+00
         12 27 May 2025 11:29:06     -0.234    11.0527   0.098567     0.2222 7.9209e+02    349.887    101.710     -0.232     0.0644    -0.3476    1451.48 0.0000e+00
         13 27 May 2025 11:29:06     -0.233    11.0528   0.098329     0.2089 7.9243e+02    349.869    101.704     -0.231     0.0643    -0.3477    1451.48 0.0000e+00
         14 27 May 2025 11:29:06     -0.233    11.0530   0.098028     0.1230 7.9157e+02    349.804    101.685     -0.231     0.0641    -0.3479    1451.48 0.0000e+00
         15 27 May 2025 11:29:06     -0.232    11.0534   0.097707     0.1230 8.0078e+02    349.796    101.682     -0.230     0.0639    -0.3481    1451.48 0.0000e+00
         16 27 May 2025 11:29:06     -0.232    11.0538   0.097494     0.2451 7.9938e+02    348.756    101.696     -0.230     0.0637    -0.3482    1451.49 0.0000e+00
         17 27 May 2025 11:29:06     -0.232    11.0543   0.097471     0.2508 7.9382e+02    330.306    101.728     -0.230     0.0637    -0.3483    1451.49 0.0000e+00
         18 27 May 2025 11:29:08     -0.232    11.0549   0.097763     0.2489 7.8263e+02    316.063    101.693     -0.230     0.0639    -0.3482    1451.49 0.0000e+00
         19 27 May 2025 11:29:08     -0.231    11.0556   0.098619     0.2432 7.7227e+02    300.863    101.549     -0.229     0.0644    -0.3479    1451.49 0.0000e+00
         20 27 May 2025 11:29:08     -0.231    11.0564   0.100383     0.2756 7.7008e+02    299.516    101.577     -0.229     0.0656    -0.3471    1451.50 0.0000e+00
         21 27 May 2025 11:29:08     -0.230    11.0571   0.103656     0.2871 7.6056e+02    298.654    101.579     -0.228     0.0677    -0.3455    1451.50 0.0000e+00
         22 27 May 2025 11:29:08     -0.229    11.0576   0.109502     0.2604 7.6874e+02    298.165    101.596     -0.227     0.0714    -0.3426    1451.51 0.0000e+00
         23 27 May 2025 11:29:09     -0.228    11.0582   0.119672     0.2279 7.7328e+02    297.876    101.629     -0.226     0.0780    -0.3375    1451.52 0.0000e+00
         24 27 May 2025 11:29:09     -0.226    11.0588   0.137002     0.2222 7.6723e+02    297.632    101.669     -0.224     0.0892    -0.3288    1451.54 0.0000e+00
         25 27 May 2025 11:29:09     -0.225    11.0598   0.166160     0.3080 7.7278e+02    297.410    101.675     -0.223     0.1082    -0.3139    1451.57 0.0000e+00
         26 27 May 2025 11:29:09     -0.222    11.0615   0.214899     0.3157 7.6756e+02    297.586    101.772     -0.220     0.1404    -0.2888    1451.61 0.0000e+00
         27 27 May 2025 11:29:09     -0.219    11.0641   0.296145     0.2184 7.5345e+02    298.325    102.026     -0.217     0.1947    -0.2465    1451.69 0.0000e+00
         28 27 May 2025 11:29:10     -0.216    11.0683   0.431558     0.2127 7.5542e+02    299.399    102.408     -0.214     0.2867    -0.1747    1451.82 0.0000e+00
         29 27 May 2025 11:29:10     -0.211    11.0749   0.657370     0.2127 7.4885e+02    300.821    102.898     -0.209     0.4432    -0.0528    1452.04 0.0000e+00
