       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        346 27 May 2025 08:37:52      1.009    12.1930  23.585301     3.4080 2.1625e+02    284.178     96.592      1.000    19.4312    14.5008    1478.99 0.0000e+00
        381 27 May 2025 08:38:01      2.018    12.2015  26.013792     3.9661 8.7253e+01    267.496     93.605      2.000    21.6294    16.1972    1481.65 0.0000e+00
        389 27 May 2025 08:38:03      3.028    12.1158  29.035292     4.0349 4.6907e+01    260.592     91.052      3.000    24.4613    18.4005    1484.72 0.0000e+00
        397 27 May 2025 08:38:05      4.037    11.8916  30.834940     3.7868 3.0574e+01    259.339     90.586      4.000    26.2963    19.8589    1486.13 0.0000e+00
        404 27 May 2025 08:38:06      5.046    11.7387  31.279396     3.3648 2.1312e+01    258.671     90.293      5.000    26.8238    20.2938    1486.24 0.0000e+00
        411 27 May 2025 08:38:09      6.055    11.6840  31.362527     3.1786 1.5329e+01    256.956     89.562      6.000    26.9417    20.3945    1486.20 0.0000e+00
        418 27 May 2025 08:38:10      7.065    11.6423  31.408632     3.2609 1.1041e+01    253.532     88.256      7.000    27.0153    20.4588    1486.16 0.0000e+00
        426 27 May 2025 08:38:12      8.074    11.5752  31.405345     3.1722 8.1147e+00    249.265     86.487      8.000    27.0607    20.5054    1486.00 0.0000e+00
        433 27 May 2025 08:38:14      9.083    11.5048  31.364725     3.3426 6.0250e+00    236.875     81.800      9.000    27.0730    20.5270    1485.78 0.0000e+00
        440 27 May 2025 08:38:16     10.092    11.3984  31.291099     3.8048 4.5136e+00    224.596     77.174     10.000    27.0801    20.5505    1485.42 0.0000e+00
        448 27 May 2025 08:38:18     11.101    11.1834  31.141937     4.4379 3.3639e+00    226.187     77.409     11.000    27.0943    20.5976    1484.69 0.0000e+00
        456 27 May 2025 08:38:20     12.110    10.9671  30.982935     4.7530 2.4785e+00    235.478     80.672     12.000    27.0998    20.6377    1483.94 0.0000e+00
        463 27 May 2025 08:38:21     13.120    10.7057  30.842797     4.6124 1.8070e+00    244.364     83.725     13.000    27.1569    20.7247    1483.09 0.0000e+00
        471 27 May 2025 08:38:23     14.129    10.6823  30.908246     3.1060 1.3289e+00    249.653     85.615     14.000    27.2376    20.7912    1483.12 0.0000e+00
        478 27 May 2025 08:38:25     15.138    10.6800  30.939367     2.7257 9.9408e-01    253.582     87.088     15.000    27.2693    20.8162    1483.16 0.0000e+00
        486 27 May 2025 08:38:27     16.148    10.6954  31.005891     2.3448 7.6217e-01    252.149     86.936     16.000    27.3222    20.8548    1483.30 0.0000e+00
        493 27 May 2025 08:38:29     17.157    10.7486  31.084621     2.0198 5.8427e-01    252.539     87.346     17.000    27.3586    20.8745    1483.55 0.0000e+00
        500 27 May 2025 08:38:31     18.166    10.8393  31.234885     1.8712 4.5075e-01    252.541     87.379     18.000    27.4364    20.9202    1483.99 0.0000e+00
        508 27 May 2025 08:38:33     19.175    11.0108  31.431678     1.3500 3.4823e-01    252.397     87.474     19.000    27.4986    20.9402    1484.70 0.0000e+00
        515 27 May 2025 08:38:34     20.185    11.0648  31.473291     1.2499 2.7437e-01    252.202     87.532     20.000    27.4981    20.9310    1484.90 0.0000e+00
        522 27 May 2025 08:38:36     21.194    11.1063  31.545634     1.1662 2.1229e-01    252.268     87.680     21.000    27.5365    20.9539    1485.12 0.0000e+00
        529 27 May 2025 08:38:38     22.203    11.1689  31.619630     1.0977 1.7144e-01    252.274     87.809     22.000    27.5607    20.9622    1485.38 0.0000e+00
        537 27 May 2025 08:38:40     23.213    11.2354  31.701072     1.0658 1.4165e-01    252.191     87.862     23.000    27.5891    20.9731    1485.67 0.0000e+00
        544 27 May 2025 08:38:42     24.222    11.2893  31.770140     1.0119 1.1072e-01    252.350     88.080     24.000    27.6148    20.9840    1485.91 0.0000e+00
        552 27 May 2025 08:38:44     25.231    11.3422  31.827401     1.0121 8.9090e-02    253.363     88.491     25.000    27.6299    20.9868    1486.13 0.0000e+00
        559 27 May 2025 08:38:46     26.241    11.3951  31.900603     0.9909 6.8533e-02    253.628     88.592     26.000    27.6603    21.0014    1486.37 0.0000e+00
        566 27 May 2025 08:38:47     27.250    11.4568  31.956526     0.9842 5.7447e-02    253.208     88.480     27.000    27.6674    20.9965    1486.62 0.0000e+00
        574 27 May 2025 08:38:49     28.259    11.4661  31.965897     0.9619 5.4642e-02    253.651     88.733     28.000    27.6691    20.9962    1486.67 0.0000e+00
        581 27 May 2025 08:38:51     29.268    11.4723  31.982012     0.9647 5.3129e-02    253.535     88.752     29.000    27.6795    21.0032    1486.72 0.0000e+00
        588 27 May 2025 08:38:53     30.278    11.5083  32.036172     0.9559 5.3093e-02    253.201     88.656     30.000    27.7040    21.0161    1486.89 0.0000e+00
        596 27 May 2025 08:38:55     31.287    11.5433  32.072656     0.9625 5.3123e-02    253.197     88.687     31.000    27.7124    21.0166    1487.04 0.0000e+00
        603 27 May 2025 08:38:56     32.296    11.5632  32.090758     0.9718 5.3097e-02    253.290     88.756     32.000    27.7145    21.0149    1487.13 0.0000e+00
        611 27 May 2025 08:38:59     33.306    11.5735  32.106707     0.9444 5.3077e-02    253.623     88.956     33.000    27.7217    21.0187    1487.19 0.0000e+00
        618 27 May 2025 08:39:00     34.315    11.5902  32.128780     0.9632 5.3106e-02    254.731     89.418     34.000    27.7299    21.0222    1487.28 0.0000e+00
        626 27 May 2025 08:39:02     35.324    11.6168  32.172482     0.9628 5.3105e-02    256.863     90.213     35.000    27.7513    21.0343    1487.42 0.0000e+00
        634 27 May 2025 08:39:04     36.334    11.6556  32.226573     1.0185 5.3097e-02    257.217     90.355     36.000    27.7736    21.0448    1487.60 0.0000e+00
        641 27 May 2025 08:39:06     37.343    11.6784  32.255222     1.0979 5.3122e-02    257.172     90.358     37.000    27.7835    21.0486    1487.70 0.0000e+00
        649 27 May 2025 08:39:08     38.352    11.6927  32.272735     1.0757 5.3107e-02    257.595     90.509     38.000    27.7891    21.0505    1487.78 0.0000e+00
        656 27 May 2025 08:39:10     39.362    11.7006  32.284792     1.0867 5.3123e-02    257.170     90.385     39.000    27.7944    21.0532    1487.83 0.0000e+00
        663 27 May 2025 08:39:12     40.372    11.7048  32.288014     1.1400 5.3132e-02    257.896     90.649     40.000    27.7939    21.0522    1487.86 0.0000e+00
        671 27 May 2025 08:39:14     41.381    11.7094  32.299275     1.0566 5.3107e-02    258.073     90.729     41.000    27.8008    21.0567    1487.90 0.0000e+00
        678 27 May 2025 08:39:15     42.390    11.7190  32.310748     1.0755 5.3108e-02    257.853     90.650     42.000    27.8042    21.0577    1487.95 0.0000e+00
