       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        335 27 May 2025 09:34:02      1.009    11.5351  11.644912     5.5288 8.8382e+01    310.285    100.340      1.000     9.2088     6.6947    1464.40 0.0000e+00
        362 27 May 2025 09:34:09      2.018    12.2949  20.995850     5.6917 1.4674e+01    282.719    100.606      2.000    17.0628    12.6548    1476.56 0.0000e+00
        372 27 May 2025 09:34:12      3.028    13.1316  28.396320     4.4418 6.6943e+00    281.849    101.093      3.000    23.2348    17.2755    1486.80 0.0000e+00
        381 27 May 2025 09:34:14      4.036    13.3640  29.759736     3.8476 4.4094e+00    273.647     97.965      4.000    24.3185    18.0689    1488.89 0.0000e+00
        390 27 May 2025 09:34:16      5.046    13.4215  30.859295     4.0383 3.3218e+00    260.517     92.221      5.000    25.2739    18.7949    1490.22 0.0000e+00
        399 27 May 2025 09:34:18      6.055    13.0987  31.542157     3.7247 2.4108e+00    243.947     84.936      6.000    26.1115    19.5006    1490.12 0.0000e+00
        407 27 May 2025 09:34:20      7.064    12.5555  31.468444     3.6557 1.7921e+00    217.994     75.653      7.000    26.4201    19.8378    1488.64 0.0000e+00
        414 27 May 2025 09:34:22      8.074    11.8647  31.200820     6.3237 1.3535e+00    201.206     69.760      8.000    26.6583    20.1436    1486.53 0.0000e+00
        421 27 May 2025 09:34:24      9.083    11.4569  31.100595     8.6919 9.7777e-01    189.309     65.572      9.000    26.8559    20.3667    1485.35 0.0000e+00
        427 27 May 2025 09:34:26     10.092    11.3420  31.122530     9.3882 6.4948e-01    163.918     56.510     10.000    26.9600    20.4669    1485.08 0.0000e+00
        434 27 May 2025 09:34:27     11.101    11.2800  31.170096     9.4334 4.2095e-01    159.984     54.937     11.000    27.0505    20.5475    1484.99 0.0000e+00
        441 27 May 2025 09:34:29     12.110    11.1503  31.129483    10.0615 2.9036e-01    183.109     62.732     12.000    27.1063    20.6125    1484.61 0.0000e+00
        448 27 May 2025 09:34:31     13.120    10.9316  30.984679     8.4177 1.9148e-01    203.789     69.695     13.000    27.1273    20.6649    1483.87 0.0000e+00
        455 27 May 2025 09:34:33     14.129    10.7767  30.882487     9.3479 1.2819e-01    213.603     73.013     14.000    27.1425    20.7020    1483.34 0.0000e+00
        463 27 May 2025 09:34:34     15.138    10.6759  30.816073     6.7849 8.7350e-02    218.909     74.772     15.000    27.1522    20.7259    1483.01 0.0000e+00
        470 27 May 2025 09:34:36     16.147    10.6186  30.790917     6.4878 5.7702e-02    234.219     79.981     16.000    27.1700    20.7489    1482.84 0.0000e+00
        477 27 May 2025 09:34:38     17.157    10.5870  30.788054     5.7497 5.3069e-02    248.851     85.083     17.000    27.1903    20.7698    1482.77 0.0000e+00
        484 27 May 2025 09:34:40     18.166    10.5470  30.798437     4.9318 5.3130e-02    254.852     87.216     18.000    27.2299    20.8070    1482.69 0.0000e+00
        492 27 May 2025 09:34:42     19.176    10.5606  30.855730     4.4612 5.3120e-02    252.788     86.597     19.000    27.2753    20.8401    1482.81 0.0000e+00
        499 27 May 2025 09:34:44     20.185    10.6087  30.925192     3.2377 5.3096e-02    251.449     86.222     20.000    27.3068    20.8569    1483.03 0.0000e+00
        506 27 May 2025 09:34:45     21.194    10.6426  30.976797     3.0220 5.3158e-02    251.489     86.478     21.000    27.3313    20.8705    1483.20 0.0000e+00
