       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        636 27 May 2025 11:31:42     40.371    12.2434  34.469153     1.5666 5.3095e-02    280.104    100.612     40.000    29.4528    22.2417    1491.71 0.0000e+00
        644 27 May 2025 11:31:44     41.381    12.2471  34.476138     1.6190 5.3127e-02    279.598    100.440     41.000    29.4562    22.2437    1491.74 0.0000e+00
        652 27 May 2025 11:31:46     42.390    12.2488  34.478643     1.5766 5.3120e-02    279.936    100.569     42.000    29.4569    22.2439    1491.77 0.0000e+00
        661 27 May 2025 11:31:48     43.399    12.2511  34.485300     1.5541 5.3111e-02    279.630    100.463     43.000    29.4610    22.2467    1491.80 0.0000e+00
        669 27 May 2025 11:31:50     44.409    12.2548  34.491196     1.5286 5.3100e-02    280.083    100.629     44.000    29.4633    22.2478    1491.83 0.0000e+00
        678 27 May 2025 11:31:52     45.418    12.2561  34.494289     1.5856 5.3122e-02    280.087    100.638     45.000    29.4649    22.2488    1491.85 0.0000e+00
        686 27 May 2025 11:31:54     46.427    12.2576  34.497118     1.5662 5.3126e-02    279.983    100.617     46.000    29.4660    22.2494    1491.87 0.0000e+00
        694 27 May 2025 11:31:56     47.437    12.2599  34.502295     1.5653 5.3102e-02    280.552    100.826     47.000    29.4687    22.2512    1491.90 0.0000e+00
        702 27 May 2025 11:31:58     48.447    12.2638  34.512254     1.5932 5.3098e-02    280.292    100.743     48.000    29.4747    22.2551    1491.94 0.0000e+00
        711 27 May 2025 11:32:00     49.456    12.2675  34.518095     1.5357 5.3125e-02    280.492    100.836     49.000    29.4769    22.2562    1491.97 0.0000e+00
        719 27 May 2025 11:32:02     50.465    12.2709  34.525704     1.5305 5.3088e-02    280.698    100.921     50.000    29.4810    22.2587    1492.01 0.0000e+00
        727 27 May 2025 11:32:05     51.475    12.2768  34.538789     1.5412 5.3108e-02    280.758    100.964     51.000    29.4884    22.2634    1492.05 0.0000e+00
        736 27 May 2025 11:32:07     52.484    12.2827  34.547553     1.4913 5.3099e-02    280.625    100.951     52.000    29.4917    22.2649    1492.09 0.0000e+00
        745 27 May 2025 11:32:09     53.494    12.2900  34.563905     1.4874 5.3099e-02    280.915    101.088     53.000    29.5011    22.2709    1492.14 0.0000e+00
        755 27 May 2025 11:32:11     54.503    12.3044  34.591648     1.4788 5.3111e-02    281.185    101.175     54.000    29.5157    22.2795    1492.23 0.0000e+00
        773 27 May 2025 11:32:16     55.513    12.3277  34.627603     1.3705 5.3009e-02    280.677    100.934     55.000    29.5310    22.2871    1492.35 0.0000e+00
        774 27 May 2025 11:32:16     54.503    12.3132  34.597998     1.8634 5.3123e-02    280.739    100.959     54.000    29.5147    22.2772    1492.26 0.0000e+00
        783 27 May 2025 11:32:18     53.493    12.3022  34.576407     1.7050 5.3098e-02    280.171    100.722     53.000    29.5033    22.2703    1492.19 0.0000e+00
