       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        335 27 May 2025 08:37:50      0.718    12.1907  23.002083     3.1672 2.5179e+02    290.072     97.392      0.711    18.9037    14.0938    1478.36 0.0000e+00
        336 27 May 2025 08:37:50      0.718    12.1908  23.002325     3.1710 2.4303e+02    290.085     97.395      0.712    18.9039    14.0939    1478.36 0.0000e+00
        337 27 May 2025 08:37:50      0.718    12.1909  23.002602     3.1596 2.5267e+02    290.141     97.411      0.712    18.9040    14.0940    1478.36 0.0000e+00
        338 27 May 2025 08:37:50      0.718    12.1910  23.003023     3.1939 2.4922e+02    290.252     97.448      0.712    18.9044    14.0943    1478.36 0.0000e+00
        339 27 May 2025 08:37:51      0.717    12.1911  23.003735     3.1806 2.5561e+02    290.034     97.379      0.711    18.9050    14.0947    1478.36 0.0000e+00
        340 27 May 2025 08:37:51      0.717    12.1912  23.004797     3.4381 2.6539e+02    290.044     97.383      0.711    18.9059    14.0954    1478.36 0.0000e+00
        341 27 May 2025 08:37:51      0.718    12.1915  23.005850     3.4400 2.5261e+02    289.927     97.342      0.712    18.9067    14.0960    1478.36 0.0000e+00
        342 27 May 2025 08:37:51      0.720    12.1918  23.006367     3.3141 2.5785e+02    289.958     97.353      0.713    18.9070    14.0961    1478.36 0.0000e+00
        343 27 May 2025 08:37:51      0.721    12.1920  23.006327     3.3179 2.4640e+02    289.915     97.338      0.715    18.9068    14.0960    1478.36 0.0000e+00
        344 27 May 2025 08:37:51      0.722    12.1920  23.006039     3.2549 2.2693e+02    289.946     97.347      0.715    18.9066    14.0958    1478.36 0.0000e+00
        345 27 May 2025 08:37:52      0.721    12.1919  23.005796     3.2626 2.3851e+02    289.797     97.296      0.714    18.9064    14.0957    1478.36 0.0000e+00
        346 27 May 2025 08:37:52      0.719    12.1918  23.005724     3.1405 2.8566e+02    289.839     97.312      0.712    18.9064    14.0957    1478.36 0.0000e+00
        347 27 May 2025 08:37:52      0.717    12.1916  23.005659     3.1462 2.6878e+02    289.993     97.364      0.710    18.9064    14.0957    1478.36 0.0000e+00
        348 27 May 2025 08:37:52      0.716    12.1916  23.005510     3.2454 2.7405e+02    289.834     97.312      0.709    18.9063    14.0957    1478.36 0.0000e+00
        349 27 May 2025 08:37:52      0.716    12.1916  23.005306     3.2569 2.3239e+02    289.872     97.326      0.710    18.9061    14.0955    1478.36 0.0000e+00
        350 27 May 2025 08:37:54      0.719    12.1917  23.005186     3.2683 2.5791e+02    289.790     97.300      0.712    18.9060    14.0954    1478.36 0.0000e+00
        351 27 May 2025 08:37:54      0.722    12.1917  23.005344     3.2530 2.5146e+02    289.849     97.322      0.716    18.9061    14.0955    1478.36 0.0000e+00
        352 27 May 2025 08:37:54      0.725    12.1917  23.005625     3.3732 2.4710e+02    289.837     97.318      0.718    18.9063    14.0957    1478.36 0.0000e+00
        353 27 May 2025 08:37:54      0.726    12.1916  23.005819     3.3904 2.4055e+02    289.924     97.358      0.719    18.9066    14.0959    1478.36 0.0000e+00
        354 27 May 2025 08:37:54      0.725    12.1912  23.006046     3.0070 2.4797e+02    290.037     97.412      0.718    18.9070    14.0962    1478.36 0.0000e+00
        355 27 May 2025 08:37:55      0.724    12.1908  23.006620     2.9994 2.8710e+02    289.977     97.413      0.717    18.9077    14.0968    1478.36 0.0000e+00
        356 27 May 2025 08:37:55      0.724    12.1905  23.007782     3.2664 2.8491e+02    289.905     97.441      0.717    18.9089    14.0978    1478.36 0.0000e+00
        357 27 May 2025 08:37:55      0.727    12.1904  23.009146     3.2645 2.7196e+02    289.409     97.498      0.721    18.9102    14.0989    1478.36 0.0000e+00
        358 27 May 2025 08:37:55      0.734    12.1904  23.009926     3.2569 2.6913e+02    288.703     97.497      0.727    18.9109    14.0994    1478.36 0.0000e+00
        359 27 May 2025 08:37:55      0.743    12.1904  23.010021     3.2359 2.4357e+02    288.200     97.471      0.736    18.9110    14.0994    1478.36 0.0000e+00
        360 27 May 2025 08:37:56      0.752    12.1904  23.009935     3.2206 2.6228e+02    286.629     97.544      0.745    18.9109    14.0994    1478.36 0.0000e+00
        361 27 May 2025 08:37:56      0.762    12.1904  23.009977     2.9536 2.5706e+02    285.375     97.524      0.755    18.9109    14.0994    1478.36 0.0000e+00
        362 27 May 2025 08:37:56      0.771    12.1904  23.010349     2.9383 2.5416e+02    284.853     97.480      0.764    18.9113    14.0997    1478.36 0.0000e+00
        363 27 May 2025 08:37:56      0.783    12.1904  23.011427     2.8906 2.8071e+02    284.442     97.494      0.776    18.9122    14.1004    1478.37 0.0000e+00
        364 27 May 2025 08:37:56      0.801    12.1905  23.013531     2.8925 2.7609e+02    283.562     97.386      0.794    18.9141    14.1018    1478.37 0.0000e+00
