       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        304 27 May 2025 13:30:22      5.046    11.7299  36.696298     1.9766 4.0567e+02    292.866    105.741      5.000    32.0254    24.3295    1492.42 0.0000e+00
        317 27 May 2025 13:30:25      6.055    11.7257  36.698030     2.3222 2.7870e+02    292.383    105.565      6.000    32.0302    24.3341    1492.43 0.0000e+00
        329 27 May 2025 13:30:28      7.064    11.7257  36.700599     2.2396 2.2538e+02    292.340    105.513      7.000    32.0324    24.3358    1492.45 0.0000e+00
        342 27 May 2025 13:30:31      8.074    11.7161  36.704181     2.2915 1.7771e+02    291.742    105.004      8.000    32.0437    24.3463    1492.45 0.0000e+00
        354 27 May 2025 13:30:34      9.083    11.6045  36.789897     2.3198 1.5162e+02    293.822    105.548      9.000    32.2236    24.5064    1492.29 0.0000e+00
        367 27 May 2025 13:30:37     10.092    11.3081  36.997040     2.5472 1.2299e+02    294.893    105.876     10.000    32.6858    24.9192    1491.83 0.0000e+00
        380 27 May 2025 13:30:41     11.101    11.2041  37.152915     2.3247 1.0730e+02    297.099    106.585     11.000    32.9314    25.1289    1491.78 0.0000e+00
        393 27 May 2025 13:30:44     12.111    11.0484  37.382671     2.4685 8.2096e+01    300.129    107.709     12.000    33.2985    25.4423    1491.69 0.0000e+00
        405 27 May 2025 13:30:47     13.120    11.0067  37.498859     2.3256 6.9399e+01    300.100    107.701     13.000    33.4512    25.5686    1491.74 0.0000e+00
        416 27 May 2025 13:30:50     14.129    11.0116  37.527934     2.3401 6.0075e+01    299.720    107.471     14.000    33.4752    25.5865    1491.81 0.0000e+00
        425 27 May 2025 13:30:52     15.138    10.9959  37.540416     1.9856 5.0544e+01    298.997    107.167     15.000    33.5015    25.6097    1491.80 0.0000e+00
        434 27 May 2025 13:30:54     16.148    10.9540  37.531338     2.0552 4.3246e+01    297.850    106.703     16.000    33.5303    25.6397    1491.71 0.0000e+00
        443 27 May 2025 13:30:57     17.157    10.9275  37.521973     2.2264 3.7399e+01    298.110    106.779     17.000    33.5449    25.6557    1491.64 0.0000e+00
        453 27 May 2025 13:30:59     18.166    10.9034  37.512074     1.9597 3.1369e+01    297.968    106.688     18.000    33.5566    25.6692    1491.59 0.0000e+00
        463 27 May 2025 13:31:01     19.175    10.8938  37.507981     1.9358 2.6566e+01    296.924    106.257     19.000    33.5609    25.6743    1491.58 0.0000e+00
        473 27 May 2025 13:31:04     20.185    10.8684  37.490532     1.7977 2.2712e+01    296.268    105.928     20.000    33.5663    25.6830    1491.51 0.0000e+00
        483 27 May 2025 13:31:06     21.194    10.8424  37.476630     1.7997 2.0155e+01    293.601    104.853     21.000    33.5759    25.6951    1491.45 0.0000e+00
        493 27 May 2025 13:31:09     22.203    10.7913  37.436402     1.6888 1.7379e+01    291.894    104.206     22.000    33.5822    25.7090    1491.29 0.0000e+00
        503 27 May 2025 13:31:11     23.212    10.7394  37.410619     1.7678 1.4995e+01    291.226    103.931     23.000    33.6037    25.7349    1491.15 0.0000e+00
        512 27 May 2025 13:31:14     24.222    10.7223  37.399386     1.8664 1.2817e+01    291.026    103.826     24.000    33.6076    25.7410    1491.11 0.0000e+00
        522 27 May 2025 13:31:16     25.231    10.7057  37.386287     1.9040 1.0883e+01    290.460    103.609     25.000    33.6094    25.7454    1491.07 0.0000e+00
        532 27 May 2025 13:31:19     26.240    10.6917  37.377512     1.9177 9.0983e+00    290.449    103.598     26.000    33.6131    25.7507    1491.04 0.0000e+00
        542 27 May 2025 13:31:21     27.250    10.6856  37.374674     1.8787 7.3896e+00    290.548    103.621     27.000    33.6154    25.7536    1491.04 0.0000e+00
        552 27 May 2025 13:31:24     28.259    10.6809  37.371757     2.1326 6.1927e+00    290.192    103.472     28.000    33.6163    25.7551    1491.04 0.0000e+00
        563 27 May 2025 13:31:27     29.268    10.6730  37.366441     2.0742 5.2733e+00    290.250    103.475     29.000    33.6178    25.7577    1491.03 0.0000e+00
        574 27 May 2025 13:31:29     30.278    10.6633  37.359614     2.1596 4.5109e+00    290.017    103.393     30.000    33.6195    25.7608    1491.02 0.0000e+00
        595 27 May 2025 13:31:35     31.287    10.6515  37.354315     2.4242 3.9658e+00    290.528    103.581     31.000    33.6246    25.7668    1491.00 0.0000e+00
        599 27 May 2025 13:31:36     30.278    10.6589  37.358329     2.1582 4.7079e+00    290.162    103.466     30.000    33.6223    25.7637    1491.01 0.0000e+00
        613 27 May 2025 13:31:39     29.268    10.6653  37.363722     2.0842 5.7214e+00    290.154    103.476     29.000    33.6222    25.7625    1491.01 0.0000e+00
        625 27 May 2025 13:31:42     28.259    10.6719  37.367488     1.9917 6.7779e+00    290.094    103.475     28.000    33.6204    25.7599    1491.02 0.0000e+00
        637 27 May 2025 13:31:45     27.250    10.6781  37.372992     2.0748 8.0749e+00    290.485    103.627     27.000    33.6205    25.7589    1491.02 0.0000e+00
        649 27 May 2025 13:31:48     26.241    10.6861  37.377925     1.9123 9.6968e+00    290.501    103.660     26.000    33.6186    25.7559    1491.03 0.0000e+00
        660 27 May 2025 13:31:51     25.231    10.6933  37.384054     2.1283 1.1465e+01    291.340    103.993     25.000    33.6186    25.7546    1491.04 0.0000e+00
        671 27 May 2025 13:31:54     24.222    10.7081  37.396239     2.0568 1.3539e+01    291.911    104.245     24.000    33.6176    25.7512    1491.07 0.0000e+00
        682 27 May 2025 13:31:56     23.212    10.7229  37.408354     1.7104 1.5986e+01    293.932    105.100     23.000    33.6165    25.7478    1491.11 0.0000e+00
        692 27 May 2025 13:31:59     22.203    10.7555  37.436063     1.8504 1.8727e+01    296.073    105.950     22.000    33.6147    25.7407    1491.21 0.0000e+00
        703 27 May 2025 13:32:01     21.194    10.8172  37.473157     2.0125 2.1720e+01    297.178    106.393     21.000    33.5955    25.7147    1491.38 0.0000e+00
        713 27 May 2025 13:32:04     20.185    10.8527  37.492217     1.7224 2.4709e+01    297.211    106.423     20.000    33.5824    25.6983    1491.48 0.0000e+00
        723 27 May 2025 13:32:07     19.175    10.8716  37.501107     1.7013 2.7981e+01    297.541    106.552     19.000    33.5744    25.6887    1491.52 0.0000e+00
        734 27 May 2025 13:32:09     18.166    10.8796  37.504048     1.6646 3.2911e+01    297.852    106.703     18.000    33.5704    25.6842    1491.52 0.0000e+00
        744 27 May 2025 13:32:12     17.157    10.8874  37.508994     1.6658 3.9295e+01    297.842    106.738     17.000    33.5686    25.6813    1491.53 0.0000e+00
        754 27 May 2025 13:32:14     16.147    10.9073  37.520079     1.8925 4.5956e+01    299.092    107.242     16.000    33.5619    25.6725    1491.58 0.0000e+00
