       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        301 27 May 2025 09:33:54      0.698    11.3418   9.173312     5.6430 1.0885e+02    325.345     99.591      0.691     7.1353     5.1194    1461.22 0.0000e+00
        302 27 May 2025 09:33:54      0.696    11.3420   9.167593     5.4751 1.2194e+02    325.513     99.633      0.689     7.1304     5.1156    1461.21 0.0000e+00
        303 27 May 2025 09:33:54      0.694    11.3419   9.165381     5.4599 1.1897e+02    325.608     99.649      0.688     7.1286     5.1142    1461.21 0.0000e+00
        304 27 May 2025 09:33:54      0.692    11.3418   9.166080     5.4675 1.2282e+02    325.667     99.653      0.686     7.1292     5.1147    1461.21 0.0000e+00
        305 27 May 2025 09:33:56      0.691    11.3418   9.168181     5.4637 1.2256e+02    325.748     99.671      0.685     7.1310     5.1161    1461.21 0.0000e+00
        306 27 May 2025 09:33:56      0.691    11.3420   9.171428     5.4942 1.1894e+02    325.522     99.597      0.685     7.1336     5.1181    1461.21 0.0000e+00
        307 27 May 2025 09:33:56      0.691    11.3424   9.176796     5.4923 1.1493e+02    325.662     99.624      0.685     7.1381     5.1215    1461.22 0.0000e+00
        308 27 May 2025 09:33:56      0.690    11.3429   9.183926     5.4923 1.1142e+02    325.604     99.603      0.684     7.1439     5.1260    1461.23 0.0000e+00
        309 27 May 2025 09:33:56      0.689    11.3436   9.191720     5.4942 1.1339e+02    325.669     99.621      0.683     7.1503     5.1309    1461.24 0.0000e+00
        310 27 May 2025 09:33:57      0.688    11.3444   9.200270     5.4980 1.2515e+02    325.633     99.594      0.682     7.1573     5.1362    1461.25 0.0000e+00
        311 27 May 2025 09:33:57      0.688    11.3453   9.209614     5.6506 1.2794e+02    325.701     99.617      0.681     7.1650     5.1420    1461.26 0.0000e+00
        312 27 May 2025 09:33:57      0.688    11.3463   9.219108     5.6449 1.1719e+02    325.499     99.559      0.681     7.1727     5.1479    1461.28 0.0000e+00
        313 27 May 2025 09:33:57      0.688    11.3475   9.227638     5.4065 1.2067e+02    325.535     99.570      0.682     7.1797     5.1531    1461.29 0.0000e+00
        314 27 May 2025 09:33:57      0.689    11.3486   9.234015     5.3950 1.1361e+02    325.412     99.547      0.683     7.1848     5.1569    1461.30 0.0000e+00
        315 27 May 2025 09:33:57      0.690    11.3496   9.237382     5.5343 1.0921e+02    325.433     99.577      0.683     7.1874     5.1588    1461.31 0.0000e+00
        316 27 May 2025 09:33:58      0.690    11.3503   9.237498     5.5209 1.1887e+02    325.245     99.531      0.684     7.1874     5.1587    1461.31 0.0000e+00
        317 27 May 2025 09:33:58      0.690    11.3507   9.235168     5.4141 1.2117e+02    325.178     99.515      0.683     7.1853     5.1571    1461.31 0.0000e+00
        318 27 May 2025 09:33:58      0.689    11.3508   9.230229     5.4160 1.1949e+02    325.283     99.547      0.683     7.1812     5.1539    1461.30 0.0000e+00
        319 27 May 2025 09:33:58      0.689    11.3505   9.221805     5.4904 1.2070e+02    325.438     99.588      0.682     7.1742     5.1485    1461.30 0.0000e+00
        320 27 May 2025 09:33:58      0.689    11.3500   9.210610     5.4999 1.1277e+02    325.446     99.587      0.683     7.1649     5.1414    1461.28 0.0000e+00
        321 27 May 2025 09:33:59      0.690    11.3490   9.198249     5.4389 1.1009e+02    325.430     99.575      0.683     7.1548     5.1336    1461.27 0.0000e+00
        322 27 May 2025 09:33:59      0.690    11.3478   9.186382     5.4408 1.2162e+02    325.416     99.566      0.684     7.1451     5.1263    1461.25 0.0000e+00
        323 27 May 2025 09:33:59      0.690    11.3465   9.176014     5.4160 1.0727e+02    325.376     99.551      0.684     7.1366     5.1199    1461.23 0.0000e+00
        324 27 May 2025 09:33:59      0.689    11.3451   9.166443     5.3969 1.2436e+02    325.507     99.591      0.683     7.1289     5.1141    1461.22 0.0000e+00
        325 27 May 2025 09:33:59      0.689    11.3439   9.157495     5.4179 1.1544e+02    325.551     99.608      0.682     7.1216     5.1086    1461.21 0.0000e+00
        326 27 May 2025 09:34:01      0.688    11.3427   9.150514     5.4160 1.2242e+02    325.476     99.595      0.682     7.1160     5.1044    1461.20 0.0000e+00
        327 27 May 2025 09:34:01      0.689    11.3417   9.145354     5.4446 1.1446e+02    325.353     99.583      0.683     7.1119     5.1013    1461.19 0.0000e+00
        328 27 May 2025 09:34:01      0.690    11.3408   9.142282     5.4465 1.2041e+02    325.419     99.621      0.684     7.1095     5.0996    1461.18 0.0000e+00
        329 27 May 2025 09:34:01      0.692    11.3401   9.143305     5.5056 1.0793e+02    325.376     99.680      0.685     7.1105     5.1004    1461.18 0.0000e+00
        330 27 May 2025 09:34:01      0.692    11.3397   9.148417     5.5209 1.1130e+02    325.209     99.660      0.686     7.1148     5.1038    1461.18 0.0000e+00
        331 27 May 2025 09:34:02      0.692    11.3398   9.157065     5.4694 1.1084e+02    325.332     99.697      0.686     7.1220     5.1094    1461.19 0.0000e+00
        332 27 May 2025 09:34:02      0.692    11.3404   9.169265     5.4637 1.2288e+02    324.742     99.657      0.686     7.1322     5.1172    1461.21 0.0000e+00
        333 27 May 2025 09:34:02      0.693    11.3414   9.182147     5.4770 1.2636e+02    324.461     99.658      0.686     7.1427     5.1253    1461.22 0.0000e+00
        334 27 May 2025 09:34:02      0.694    11.3426   9.191461     5.5209 1.1116e+02    324.153     99.712      0.688     7.1503     5.1310    1461.24 0.0000e+00
        335 27 May 2025 09:34:02      0.697    11.3439   9.195709     5.5133 1.1658e+02    323.560     99.772      0.691     7.1536     5.1334    1461.25 0.0000e+00
        336 27 May 2025 09:34:02      0.701    11.3447   9.195885     5.5934 1.1062e+02    322.303     99.816      0.694     7.1536     5.1333    1461.25 0.0000e+00
        337 27 May 2025 09:34:03      0.705    11.3452   9.193796     5.5877 1.1235e+02    319.771     99.933      0.698     7.1518     5.1318    1461.25 0.0000e+00
        338 27 May 2025 09:34:03      0.709    11.3452   9.191307     5.4179 1.1403e+02    317.215    100.126      0.703     7.1497     5.1301    1461.25 0.0000e+00
        339 27 May 2025 09:34:03      0.714    11.3450   9.189896     5.3969 1.1688e+02    310.838    100.415      0.708     7.1485     5.1293    1461.24 0.0000e+00
        340 27 May 2025 09:34:03      0.721    11.3448   9.191155     5.5095 1.1091e+02    309.097    100.734      0.715     7.1496     5.1302    1461.24 0.0000e+00
        341 27 May 2025 09:34:03      0.730    11.3446   9.196797     5.5266 1.2112e+02    309.614    101.366      0.724     7.1544     5.1339    1461.25 0.0000e+00
        342 27 May 2025 09:34:05      0.742    11.3448   9.208552     5.4904 1.0880e+02    310.433    101.943      0.735     7.1642     5.1414    1461.26 0.0000e+00
        343 27 May 2025 09:34:05      0.758    11.3455   9.228907     5.4770 1.1096e+02    310.267    102.187      0.751     7.1811     5.1545    1461.29 0.0000e+00
        344 27 May 2025 09:34:05      0.778    11.3469   9.261218     5.4274 1.1033e+02    309.738    102.404      0.771     7.2079     5.1750    1461.32 0.0000e+00
        345 27 May 2025 09:34:05      0.804    11.3493   9.308287     5.4484 1.1250e+02    308.067    102.335      0.797     7.2469     5.2049    1461.38 0.0000e+00
        346 27 May 2025 09:34:05      0.836    11.3530   9.373829     5.4980 1.0153e+02    305.301    102.020      0.829     7.3011     5.2465    1461.46 0.0000e+00
        347 27 May 2025 09:34:06      0.876    11.3585   9.460818     5.4961 9.7719e+01    300.432    101.958      0.868     7.3730     5.3015    1461.57 0.0000e+00
        348 27 May 2025 09:34:06      0.922    11.3659   9.572564     5.4923 7.6500e+01    294.567    101.478      0.914     7.4653     5.3720    1461.71 0.0000e+00
        349 27 May 2025 09:34:06      0.975    11.3757   9.729136     5.4809 6.7046e+01    291.122    101.366      0.966     7.5949     5.4712    1461.90 0.0000e+00
        350 27 May 2025 09:34:06      1.033    11.3886   9.957636     5.4713 6.0242e+01    290.247    101.457      1.023     7.7845     5.6164    1462.18 0.0000e+00
        351 27 May 2025 09:34:06      1.096    11.4065  10.278914     5.4637 5.2832e+01    289.646    101.649      1.086     8.0517     5.8210    1462.57 0.0000e+00
        352 27 May 2025 09:34:06      1.163    11.4314  10.730623     5.5133 4.8339e+01    289.187    101.724      1.153     8.4283     6.1093    1463.11 0.0000e+00
        353 27 May 2025 09:34:07      1.234    11.4659  11.370565     5.5095 4.2116e+01    287.846    101.751      1.223     8.9637     6.5192    1463.89 0.0000e+00
        354 27 May 2025 09:34:07      1.308    11.5138  12.257695     5.6334 3.7818e+01    287.260    101.724      1.296     9.7091     7.0896    1464.96 0.0000e+00
        355 27 May 2025 09:34:07      1.385    11.5795  13.409317     5.6411 3.1992e+01    286.688    101.570      1.373    10.6808     7.8323    1466.37 0.0000e+00
        356 27 May 2025 09:34:07      1.466    11.6670  14.785151     5.6506 2.7129e+01    286.162    101.379      1.453    11.8454     8.7206    1468.08 0.0000e+00
        357 27 May 2025 09:34:07      1.550    11.7767  16.200546     5.6601 2.5487e+01    285.375    101.031      1.536    13.0428     9.6304    1469.91 0.0000e+00
        358 27 May 2025 09:34:09      1.637    11.9025  17.372364     5.6697 2.1707e+01    284.342    100.619      1.622    14.0242    10.3703    1471.54 0.0000e+00
