       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        165 28 May 2025 13:49:40      1.009    12.0790  35.268322     1.7405 2.4480e+02    260.863     93.945      1.000    30.3600    22.9737    1491.57 0.0000e+00
        320 28 May 2025 13:50:19      2.019    11.9332  36.072517     2.0539 1.6994e+02    294.275    105.689      2.000    31.2506    23.6910    1492.15 0.0000e+00
        321 28 May 2025 13:50:19      3.028    11.8217  36.190068     1.9517 1.2245e+02    295.331    105.700      3.000    31.4579    23.8723    1492.03 0.0000e+00
        330 28 May 2025 13:50:21      4.037    11.3248  36.761551     1.8875 8.8311e+01    296.969    106.314      4.000    32.4439    24.7280    1491.50 0.0000e+00
        338 28 May 2025 13:50:23      5.046    11.0599  36.997503     2.1190 6.5926e+01    296.779    106.261      5.000    32.9098    25.1376    1491.15 0.0000e+00
        346 28 May 2025 13:50:25      6.055    11.0139  37.098289     2.1195 5.2157e+01    296.816    106.179      6.000    33.0503    25.2551    1491.17 0.0000e+00
        354 28 May 2025 13:50:27      7.064    10.9657  37.245180     2.0594 4.2478e+01    297.289    106.302      7.000    33.2392    25.4108    1491.24 0.0000e+00
        362 28 May 2025 13:50:29      8.073    10.8667  37.398942     1.8325 3.4049e+01    296.408    105.937      8.000    33.4819    25.6173    1491.20 0.0000e+00
        371 28 May 2025 13:50:31      9.083    10.8172  37.419798     1.9756 2.8066e+01    294.962    105.339      9.000    33.5476    25.6772    1491.13 0.0000e+00
        379 28 May 2025 13:50:33     10.092    10.7918  37.414248     1.7382 2.3375e+01    293.787    104.854     10.000    33.5649    25.6952    1491.07 0.0000e+00
        388 28 May 2025 13:50:36     11.101    10.7515  37.399358     1.6889 1.9770e+01    292.494    104.371     11.000    33.5866    25.7192    1490.98 0.0000e+00
        397 28 May 2025 13:50:38     12.110    10.7161  37.383359     1.5103 1.6860e+01    292.010    104.187     12.000    33.6027    25.7380    1490.89 0.0000e+00
        405 28 May 2025 13:50:40     13.120    10.7017  37.379332     1.8450 1.4172e+01    292.011    104.180     13.000    33.6115    25.7474    1490.86 0.0000e+00
        414 28 May 2025 13:50:42     14.129    10.6965  37.377395     1.4793 1.1947e+01    291.990    104.170     14.000    33.6139    25.7502    1490.86 0.0000e+00
        423 28 May 2025 13:50:45     15.138    10.6926  37.377266     1.7087 1.0368e+01    291.391    103.945     15.000    33.6169    25.7532    1490.87 0.0000e+00
        432 28 May 2025 13:50:47     16.148    10.6912  37.376935     1.6600 8.7076e+00    291.317    103.913     16.000    33.6174    25.7539    1490.88 0.0000e+00
        441 28 May 2025 13:50:49     17.157    10.6865  37.374691     1.4488 7.3157e+00    291.153    103.850     17.000    33.6190    25.7560    1490.88 0.0000e+00
        449 28 May 2025 13:50:51     18.166    10.6838  37.373650     1.8689 6.1307e+00    291.210    103.870     18.000    33.6200    25.7573    1490.89 0.0000e+00
        458 28 May 2025 13:50:53     19.175    10.6819  37.372768     1.5884 5.3041e+00    291.061    103.815     19.000    33.6204    25.7579    1490.90 0.0000e+00
        467 28 May 2025 13:50:56     20.185    10.6809  37.372989     1.6272 4.5328e+00    290.754    103.704     20.000    33.6211    25.7587    1490.92 0.0000e+00
        475 28 May 2025 13:50:58     21.194    10.6802  37.373226     1.5577 3.8339e+00    291.046    103.807     21.000    33.6216    25.7592    1490.93 0.0000e+00
        484 28 May 2025 13:51:00     22.203    10.6799  37.373491     2.5015 3.2920e+00    290.713    103.675     22.000    33.6217    25.7593    1490.95 0.0000e+00
        493 28 May 2025 13:51:02     23.213    10.6789  37.373058     1.8110 2.8050e+00    290.115    103.454     23.000    33.6217    25.7596    1490.96 0.0000e+00
        502 28 May 2025 13:51:04     24.222    10.6738  37.369467     1.7609 2.3528e+00    290.284    103.504     24.000    33.6224    25.7611    1490.96 0.0000e+00
        511 28 May 2025 13:51:06     25.231    10.6693  37.367337     1.6278 2.0139e+00    289.563    103.238     25.000    33.6239    25.7630    1490.96 0.0000e+00
        520 28 May 2025 13:51:09     26.241    10.6644  37.364422     2.3329 1.7128e+00    289.467    103.198     26.000    33.6250    25.7648    1490.96 0.0000e+00
        529 28 May 2025 13:51:11     27.250    10.6593  37.362693     1.9195 1.4747e+00    288.984    103.013     27.000    33.6276    25.7676    1490.96 0.0000e+00
        538 28 May 2025 13:51:13     28.259    10.6562  37.361905     1.9045 1.2539e+00    288.256    102.724     28.000    33.6292    25.7695    1490.97 0.0000e+00
        547 28 May 2025 13:51:15     29.268    10.6495  37.358134     2.3553 1.0721e+00    286.162    101.957     29.000    33.6312    25.7723    1490.97 0.0000e+00
        556 28 May 2025 13:51:18     30.278    10.6375  37.347553     2.3781 9.1327e-01    284.913    101.498     30.000    33.6312    25.7744    1490.94 0.0000e+00
        564 28 May 2025 13:51:20     31.287    10.6269  37.340354     2.7625 7.6266e-01    284.906    101.490     31.000    33.6333    25.7779    1490.92 0.0000e+00
        573 28 May 2025 13:51:22     32.296    10.6203  37.335874     2.9737 6.3660e-01    284.323    101.279     32.000    33.6345    25.7800    1490.92 0.0000e+00
        583 28 May 2025 13:51:25     33.306    10.6169  37.334145     2.9570 5.3154e-01    284.135    101.211     33.000    33.6354    25.7813    1490.92 0.0000e+00
        602 28 May 2025 13:51:29     34.315    10.6151  37.333593     3.4288 4.4076e-01    284.367    101.298     34.000    33.6361    25.7822    1490.93 0.0000e+00
        620 28 May 2025 13:51:34     33.306    10.6169  37.334912     2.5212 5.5309e-01    284.744    101.439     33.000    33.6361    25.7819    1490.92 0.0000e+00
        630 28 May 2025 13:51:36     32.296    10.6181  37.335575     2.7862 6.6605e-01    284.836    101.481     32.000    33.6361    25.7817    1490.91 0.0000e+00
        640 28 May 2025 13:51:39     31.287    10.6207  37.338025     2.8316 7.9308e-01    285.201    101.620     31.000    33.6366    25.7816    1490.90 0.0000e+00
        650 28 May 2025 13:51:41     30.278    10.6249  37.340938     3.0754 9.4426e-01    285.788    101.851     30.000    33.6362    25.7804    1490.90 0.0000e+00
        660 28 May 2025 13:51:44     29.268    10.6296  37.345091     2.5807 1.1209e+00    287.760    102.574     29.000    33.6365    25.7798    1490.90 0.0000e+00
        670 28 May 2025 13:51:46     28.259    10.6402  37.354667     2.3259 1.3237e+00    288.727    102.930     28.000    33.6367    25.7782    1490.92 0.0000e+00
