       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
       1085 28 May 2025 09:28:48      1.009    12.7564  18.152901     5.1391 4.9208e+02    289.144     95.980      1.000    14.4143    10.5430    1475.07 0.0000e+00
       1386 28 May 2025 09:30:03      2.018    12.5244  24.905417     5.0469 5.9566e+01    274.568     95.896      2.000    20.4399    15.2250    1481.38 0.0000e+00
       1384 28 May 2025 09:30:03      3.027    12.4208  27.584815     4.7710 3.5045e+01    271.117     94.746      3.000    22.9337    17.1678    1483.98 0.0000e+00
       1391 28 May 2025 09:30:05      4.037    12.1647  29.493880     4.0674 2.0378e+01    265.827     92.714      4.000    24.8555    18.6969    1485.38 0.0000e+00
       1399 28 May 2025 09:30:07      5.046    11.9879  30.422686     2.7097 1.3656e+01    253.956     88.471      5.000    25.8410    19.4899    1485.94 0.0000e+00
       1407 28 May 2025 09:30:08      6.055    11.7835  30.944606     3.2050 1.1021e+01    252.682     87.931      6.000    26.4746    20.0156    1486.00 0.0000e+00
       1415 28 May 2025 09:30:11      7.065    11.5668  31.250199     3.4045 9.9519e+00    251.503     87.259      7.000    26.9197    20.3975    1485.78 0.0000e+00
       1423 28 May 2025 09:30:12      8.074    11.4536  31.418337     2.7210 7.9602e+00    244.498     84.747      8.000    27.1619    20.6046    1485.69 0.0000e+00
       1430 28 May 2025 09:30:14      9.083    11.3394  31.340035     3.3629 6.1196e+00    244.443     84.587      9.000    27.1706    20.6306    1485.31 0.0000e+00
       1438 28 May 2025 09:30:16     10.092    11.2495  31.299324     3.2757 4.5446e+00    242.746     83.765     10.000    27.1972    20.6664    1485.04 0.0000e+00
       1446 28 May 2025 09:30:18     11.101    11.1902  31.250810     3.4735 3.2679e+00    241.209     83.139     11.000    27.1939    20.6738    1484.84 0.0000e+00
       1454 28 May 2025 09:30:20     12.110    11.0778  31.152744     3.5606 2.3008e+00    241.654     83.105     12.000    27.1821    20.6833    1484.44 0.0000e+00
       1462 28 May 2025 09:30:22     13.120    10.9943  31.108362     3.4858 1.6525e+00    242.986     83.356     13.000    27.2006    20.7115    1484.18 0.0000e+00
       1470 28 May 2025 09:30:24     14.129    10.9036  31.059077     3.4950 1.1875e+00    245.672     84.141     14.000    27.2196    20.7412    1483.89 0.0000e+00
       1477 28 May 2025 09:30:26     15.138    10.7994  31.003117     3.0792 8.6421e-01    248.444     85.111     15.000    27.2424    20.7759    1483.56 0.0000e+00
       1485 28 May 2025 09:30:28     16.148    10.6838  30.948836     3.3755 6.3200e-01    249.762     85.671     16.000    27.2752    20.8202    1483.20 0.0000e+00
       1493 28 May 2025 09:30:30     17.157    10.6680  30.967302     3.1635 4.6252e-01    251.560     86.469     17.000    27.3047    20.8457    1483.20 0.0000e+00
       1501 28 May 2025 09:30:32     18.166    10.6965  31.034935     2.9589 3.4738e-01    251.919     87.012     18.000    27.3489    20.8754    1483.37 0.0000e+00
       1509 28 May 2025 09:30:34     19.175    10.7702  31.144767     2.4053 2.5838e-01    250.525     86.604     19.000    27.4003    20.9034    1483.71 0.0000e+00
       1517 28 May 2025 09:30:36     20.185    10.9425  31.363808     2.1186 1.9970e-01    250.260     86.561     20.000    27.4835    20.9399    1484.45 0.0000e+00
       1525 28 May 2025 09:30:38     21.194    11.0367  31.431817     1.6071 1.5167e-01    250.416     86.810     21.000    27.4786    20.9205    1484.80 0.0000e+00
       1533 28 May 2025 09:30:40     22.203    11.0581  31.462679     1.6327 1.2206e-01    250.924     87.162     22.000    27.4920    20.9274    1484.91 0.0000e+00
       1541 28 May 2025 09:30:42     23.212    11.1262  31.569536     1.4941 9.1026e-02    250.837     87.200     23.000    27.5439    20.9564    1485.23 0.0000e+00
       1549 28 May 2025 09:30:44     24.222    11.2216  31.673749     1.2695 7.2609e-02    251.119     87.357     24.000    27.5727    20.9628    1485.62 0.0000e+00
