       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        203 28 May 2025 12:09:34      1.009    12.3308  24.347413     3.7864 2.2917e+02    244.263     83.249      1.000    20.0478    14.9544    1480.21 0.0000e+00
        322 28 May 2025 12:10:04      2.018    12.3133  27.099097     3.6736 1.0906e+02    271.631     94.976      2.000    22.5566    16.8948    1483.14 0.0000e+00
        337 28 May 2025 12:10:08      3.028    12.1021  29.783755     2.9848 5.3611e+01    268.134     94.007      3.000    25.1681    18.9496    1485.51 0.0000e+00
        349 28 May 2025 12:10:11      4.037    11.9597  31.077382     2.4526 3.1851e+01    266.900     93.763      4.000    26.4753    19.9857    1486.58 0.0000e+00
        361 28 May 2025 12:10:14      5.046    11.9183  31.490568     2.3551 2.1015e+01    265.944     93.495      5.000    26.8940    20.3171    1486.95 0.0000e+00
        373 28 May 2025 12:10:17      6.055    11.8872  31.802981     2.1516 1.4243e+01    265.066     93.339      6.000    27.2112    20.5683    1487.24 0.0000e+00
        384 28 May 2025 12:10:20      7.065    11.8777  31.976508     2.2004 9.8656e+00    265.339     93.566      7.000    27.3821    20.7023    1487.43 0.0000e+00
        396 28 May 2025 12:10:23      8.073    11.8640  32.309729     1.8720 6.9986e+00    265.749     93.766      8.000    27.7076    20.9569    1487.78 0.0000e+00
        408 28 May 2025 12:10:26      9.083    11.8728  32.461548     1.7907 5.1075e+00    266.047     93.951      9.000    27.8447    21.0616    1487.99 0.0000e+00
        419 28 May 2025 12:10:29     10.092    11.8820  32.544613     1.8353 3.7856e+00    266.353     94.084     10.000    27.9163    21.1154    1488.13 0.0000e+00
        431 28 May 2025 12:10:31     11.101    11.8907  32.621512     1.7746 2.7767e+00    266.762     94.244     11.000    27.9824    21.1652    1488.25 0.0000e+00
        442 28 May 2025 12:10:34     12.111    11.8918  32.652327     1.8254 2.0416e+00    267.009     94.364     12.000    28.0105    21.1867    1488.31 0.0000e+00
        454 28 May 2025 12:10:37     13.120    11.8911  32.689521     1.7235 1.5128e+00    267.088     94.508     13.000    28.0459    21.2143    1488.36 0.0000e+00
        465 28 May 2025 12:10:40     14.129    11.8928  32.794617     1.7147 1.1212e+00    267.785     94.788     14.000    28.1441    21.2902    1488.50 0.0000e+00
        476 28 May 2025 12:10:43     15.138    11.9058  32.929259     1.6368 8.2515e-01    268.193     94.982     15.000    28.2617    21.3790    1488.71 0.0000e+00
        487 28 May 2025 12:10:45     16.147    11.9119  32.962353     1.6272 6.0449e-01    268.688     95.192     16.000    28.2882    21.3985    1488.78 0.0000e+00
        497 28 May 2025 12:10:48     17.157    11.9223  33.020689     1.6528 4.4703e-01    268.639     95.184     17.000    28.3354    21.4332    1488.88 0.0000e+00
        507 28 May 2025 12:10:51     18.166    11.9292  33.035662     1.7132 3.3141e-01    268.815     95.267     18.000    28.3440    21.4387    1488.94 0.0000e+00
        518 28 May 2025 12:10:53     19.175    11.9361  33.049647     1.7714 2.4577e-01    268.787     95.258     19.000    28.3517    21.4434    1488.99 0.0000e+00
        528 28 May 2025 12:10:56     20.185    11.9418  33.057383     1.7424 1.8649e-01    268.916     95.316     20.000    28.3543    21.4445    1489.02 0.0000e+00
        538 28 May 2025 12:10:58     21.194    11.9423  33.061188     1.8281 1.4415e-01    269.138     95.429     21.000    28.3572    21.4467    1489.05 0.0000e+00
        549 28 May 2025 12:11:01     22.203    11.9449  33.078953     1.7562 1.0540e-01    269.442     95.619     22.000    28.3717    21.4574    1489.09 0.0000e+00
        559 28 May 2025 12:11:03     23.213    11.9528  33.149092     1.8112 7.9109e-02    270.026     95.834     23.000    28.4319    21.5027    1489.21 0.0000e+00
