       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        778 28 May 2025 10:41:16     40.371    11.2241  31.715866     1.6996 5.3095e-02    240.802     83.670     40.000    27.6055    20.9881    1485.93 0.0000e+00
        789 28 May 2025 10:41:19     41.381    11.2318  31.724536     2.0481 5.3112e-02    240.346     83.537     41.000    27.6077    20.9885    1485.98 0.0000e+00
        799 28 May 2025 10:41:22     42.390    11.2433  31.741395     1.5440 5.3119e-02    238.622     82.944     42.000    27.6150    20.9922    1486.05 0.0000e+00
        817 28 May 2025 10:41:26     43.399    11.2550  31.753285     2.0830 5.3101e-02    239.029     83.069     43.000    27.6173    20.9921    1486.11 0.0000e+00
        832 28 May 2025 10:41:30     42.390    11.2506  31.744063     1.8978 5.3101e-02    240.731     83.634     42.000    27.6121    20.9888    1486.07 0.0000e+00
        842 28 May 2025 10:41:32     41.381    11.2406  31.729352     1.6033 5.3111e-02    241.516     83.895     41.000    27.6058    20.9855    1486.01 0.0000e+00
        852 28 May 2025 10:41:35     40.371    11.2337  31.721447     1.6925 5.3095e-02    241.588     83.898     40.000    27.6037    20.9851    1485.97 0.0000e+00
        862 28 May 2025 10:41:37     39.362    11.2276  31.711589     1.8104 5.3083e-02    241.063     83.682     39.000    27.5991    20.9825    1485.92 0.0000e+00
        871 28 May 2025 10:41:40     38.352    11.2168  31.695284     1.8702 5.3107e-02    240.069     83.307     38.000    27.5919    20.9787    1485.86 0.0000e+00
        881 28 May 2025 10:41:42     37.343    11.2009  31.674018     1.8915 5.3115e-02    240.985     83.602     37.000    27.5836    20.9750    1485.78 0.0000e+00
        891 28 May 2025 10:41:44     36.334    11.1866  31.655931     1.8543 5.3085e-02    241.630     83.790     36.000    27.5772    20.9724    1485.70 0.0000e+00
        901 28 May 2025 10:41:47     35.324    11.1747  31.638839     1.8026 5.3100e-02    242.317     83.995     35.000    27.5701    20.9688    1485.63 0.0000e+00
        910 28 May 2025 10:41:49     34.315    11.1583  31.616361     1.9166 5.3113e-02    242.742     84.119     34.000    27.5611    20.9645    1485.55 0.0000e+00
        920 28 May 2025 10:41:52     33.306    11.1420  31.594615     1.9224 5.3106e-02    242.933     84.176     33.000    27.5526    20.9607    1485.46 0.0000e+00
        930 28 May 2025 10:41:54     32.296    11.1320  31.584229     1.9257 5.3067e-02    243.083     84.201     32.000    27.5504    20.9606    1485.41 0.0000e+00
        940 28 May 2025 10:41:57     31.287    11.1270  31.576015     1.8885 5.3120e-02    243.038     84.165     31.000    27.5467    20.9585    1485.37 0.0000e+00
        950 28 May 2025 10:41:59     30.278    11.1137  31.558064     1.8986 5.3106e-02    243.067     84.152     30.000    27.5397    20.9553    1485.29 0.0000e+00
        960 28 May 2025 10:42:02     29.268    11.1037  31.545589     1.9723 5.3106e-02    242.726     83.985     29.000    27.5355    20.9537    1485.24 0.0000e+00
        971 28 May 2025 10:42:04     28.259    11.0909  31.526384     2.0845 5.3111e-02    243.305     84.119     28.000    27.5268    20.9491    1485.16 0.0000e+00
        981 28 May 2025 10:42:07     27.250    11.0645  31.487539     2.2045 5.3090e-02    243.686     84.213     27.000    27.5095    20.9399    1485.03 0.0000e+00
        991 28 May 2025 10:42:10     26.240    11.0358  31.454113     2.0530 5.3080e-02    243.124     83.991     26.000    27.4990    20.9366    1484.90 0.0000e+00
       1001 28 May 2025 10:42:12     25.231    11.0191  31.434857     2.1954 5.3085e-02    243.099     83.934     25.000    27.4932    20.9349    1484.82 0.0000e+00
       1011 28 May 2025 10:42:14     24.222    11.0055  31.414919     2.1174 5.3099e-02    242.855     83.799     24.000    27.4845    20.9303    1484.74 0.0000e+00
       1020 28 May 2025 10:42:17     23.213    10.9822  31.382315     2.1385 5.3079e-02    242.538     83.655     23.000    27.4707    20.9234    1484.63 0.0000e+00
       1029 28 May 2025 10:42:19     22.203    10.9593  31.355785     2.3632 5.3117e-02    241.955     83.413     22.000    27.4625    20.9208    1484.52 0.0000e+00
       1039 28 May 2025 10:42:21     21.194    10.9427  31.335003     2.5166 5.3123e-02    242.129     83.388     21.000    27.4552    20.9178    1484.43 0.0000e+00
       1048 28 May 2025 10:42:24     20.185    10.9214  31.302844     2.8141 5.3094e-02    240.972     82.857     20.000    27.4403    20.9098    1484.32 0.0000e+00
       1058 28 May 2025 10:42:26     19.175    10.8796  31.242444     3.0399 5.3108e-02    240.280     82.481     19.000    27.4133    20.8957    1484.12 0.0000e+00
       1067 28 May 2025 10:42:29     18.166    10.8162  31.153867     3.7726 5.5538e-02    239.829     82.192     18.000    27.3751    20.8764    1483.83 0.0000e+00
       1076 28 May 2025 10:42:31     17.157    10.7513  31.068011     4.3957 6.7513e-02    235.953     80.699     17.000    27.3405    20.8600    1483.54 0.0000e+00
       1086 28 May 2025 10:42:33     16.148    10.6858  30.973379     4.7421 9.5917e-02    228.430     78.127     16.000    27.2976    20.8373    1483.24 0.0000e+00
       1095 28 May 2025 10:42:35     15.138    10.6135  30.873032     6.3109 1.4251e-01    212.403     72.922     15.000    27.2542    20.8152    1482.91 0.0000e+00
       1105 28 May 2025 10:42:38     14.129    10.6331  30.873775     7.5927 1.9306e-01    173.078     59.837     14.000    27.2406    20.8015    1482.95 0.0000e+00
       1114 28 May 2025 10:42:40     13.120    10.8489  31.051790     8.6476 2.7762e-01    153.406     53.292     13.000    27.2536    20.7764    1483.72 0.0000e+00
       1124 28 May 2025 10:42:43     12.110    11.1546  31.257563     7.0148 3.9537e-01    173.854     60.640     12.000    27.2263    20.7049    1484.77 0.0000e+00
       1133 28 May 2025 10:42:45     11.101    11.3787  31.377174     5.1202 5.6213e-01    201.475     70.416     11.000    27.1765    20.6287    1485.49 0.0000e+00
       1143 28 May 2025 10:42:47     10.092    11.5859  31.403201     4.8224 8.1915e-01    216.878     76.226     10.000    27.0502    20.4955    1486.05 0.0000e+00
       1152 28 May 2025 10:42:50      9.083    11.7429  31.367329     4.3450 1.1675e+00    234.617     83.521      9.000    26.9025    20.3541    1486.41 0.0000e+00
       1161 28 May 2025 10:42:52      8.074    12.0488  31.465200     3.0883 1.6945e+00    257.953     93.574      8.000    26.7753    20.2024    1487.32 0.0000e+00
       1170 28 May 2025 10:42:54      7.064    12.7102  31.754032     3.2563 2.5047e+00    278.308    100.525      7.000    26.5761    19.9302    1489.35 0.0000e+00
       1179 28 May 2025 10:42:56      6.055    13.6960  31.850584     3.2217 3.9010e+00    281.280     99.546      6.000    25.9859    19.2918    1491.99 0.0000e+00
       1188 28 May 2025 10:42:59      5.046    13.8939  30.615714     4.1480 6.5388e+00    287.447     99.896      5.000    24.7469    18.3001    1491.19 0.0000e+00
       1197 28 May 2025 10:43:01      4.037    13.5546  27.908951     5.9947 1.2254e+01    300.807    102.171      4.000    22.5452    16.6679    1487.45 0.0000e+00
       1207 28 May 2025 10:43:04      3.028    13.2992  25.150334     8.1867 2.6115e+01    317.738    100.758      3.000    20.2458    14.9432    1483.86 0.0000e+00
       1218 28 May 2025 10:43:06      2.018    13.0001  20.144456     8.4306 6.8054e+01    334.288    101.320      2.000    16.0106    11.7321    1477.82 0.0000e+00
       1229 28 May 2025 10:43:09      1.009    12.0546   9.286183     6.7882 2.8042e+02    323.105     97.275      1.000     7.1069     5.0034    1463.83 0.0000e+00
