       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        339 28 May 2025 09:25:41     -0.100    13.3716   0.174707   123.8565 1.5175e+03    334.400    102.359     -0.099     0.1079    -0.5849    1460.25 0.0000e+00
        340 28 May 2025 09:25:41     -0.100    13.3692   0.171659   123.8508 1.5271e+03    334.354    102.339     -0.100     0.1060    -0.5861    1460.24 0.0000e+00
        341 28 May 2025 09:25:42     -0.101    13.3669   0.168572   123.8470 1.5288e+03    334.380    102.341     -0.100     0.1041    -0.5873    1460.23 0.0000e+00
        342 28 May 2025 09:25:42     -0.101    13.3645   0.165480   123.8699 1.5321e+03    334.330    102.321     -0.100     0.1022    -0.5884    1460.22 0.0000e+00
        343 28 May 2025 09:25:42     -0.101    13.3622   0.162471   123.8413 1.5368e+03    334.623    102.404     -0.100     0.1004    -0.5896    1460.21 0.0000e+00
        344 28 May 2025 09:25:42     -0.101    13.3598   0.159634     0.7086 1.5321e+03    334.497    102.361     -0.100     0.0987    -0.5906    1460.20 0.0000e+00
        345 28 May 2025 09:25:42     -0.101    13.3575   0.157036     0.6991 1.5122e+03    334.548    102.372     -0.100     0.0971    -0.5915    1460.19 0.0000e+00
        346 28 May 2025 09:25:44     -0.101    13.3552   0.154650     1.4162 1.5221e+03    334.605    102.385     -0.100     0.0956    -0.5924    1460.18 0.0000e+00
        347 28 May 2025 09:25:44     -0.101    13.3529   0.152423     1.4105 1.5020e+03    334.642    102.391     -0.100     0.0942    -0.5931    1460.17 0.0000e+00
        348 28 May 2025 09:25:44     -0.101    13.3506   0.150357    -0.0811 1.5020e+03    334.566    102.362     -0.100     0.0930    -0.5938    1460.16 0.0000e+00
        349 28 May 2025 09:25:44     -0.101    13.3484   0.148447    -0.0830 1.5056e+03    334.481    102.332     -0.100     0.0918    -0.5944    1460.15 0.0000e+00
        350 28 May 2025 09:25:44     -0.101    13.3461   0.146683     0.4072 1.4731e+03    334.368    102.292     -0.100     0.0907    -0.5950    1460.14 0.0000e+00
        351 28 May 2025 09:25:45     -0.101    13.3439   0.145065     0.4015 1.5007e+03    334.378    102.290     -0.100     0.0898    -0.5954    1460.13 0.0000e+00
        352 28 May 2025 09:25:45     -0.101    13.3416   0.143548     0.0410 1.5072e+03    334.770    102.405     -0.100     0.0888    -0.5959    1460.12 0.0000e+00
        353 28 May 2025 09:25:45     -0.101    13.3394   0.142066     0.0200 1.4922e+03    334.669    102.368     -0.100     0.0879    -0.5963    1460.11 0.0000e+00
        354 28 May 2025 09:25:45     -0.101    13.3372   0.140585     0.2108 1.4958e+03    334.536    102.322     -0.100     0.0870    -0.5967    1460.10 0.0000e+00
        355 28 May 2025 09:25:45     -0.101    13.3350   0.139089     0.2184 1.4837e+03    334.697    102.368     -0.100     0.0861    -0.5971    1460.09 0.0000e+00
        356 28 May 2025 09:25:45     -0.101    13.3329   0.137569     0.2146 1.4844e+03    334.832    102.405     -0.100     0.0852    -0.5976    1460.08 0.0000e+00
        357 28 May 2025 09:25:46     -0.100    13.3307   0.136023    -0.0715 1.4763e+03    334.884    102.417     -0.100     0.0843    -0.5980    1460.07 0.0000e+00
        358 28 May 2025 09:25:46     -0.100    13.3286   0.134448    -0.0582 1.4686e+03    334.924    102.425     -0.099     0.0833    -0.5985    1460.07 0.0000e+00
        359 28 May 2025 09:25:46     -0.100    13.3264   0.132880     0.7868 1.4760e+03    334.821    102.390     -0.099     0.0823    -0.5989    1460.06 0.0000e+00
        360 28 May 2025 09:25:46     -0.100    13.3243   0.131372     0.8078 1.4925e+03    334.751    102.365     -0.099     0.0814    -0.5994    1460.05 0.0000e+00
        361 28 May 2025 09:25:46     -0.100    13.3222   0.129965     0.2127 1.4766e+03    334.929    102.415     -0.099     0.0806    -0.5998    1460.04 0.0000e+00
        362 28 May 2025 09:25:48     -0.100    13.3202   0.128686     0.2241 1.4886e+03    334.961    102.421     -0.099     0.0798    -0.6001    1460.03 0.0000e+00
        363 28 May 2025 09:25:48     -0.100    13.3181   0.127505     3.7356 1.4938e+03    334.910    102.402     -0.099     0.0791    -0.6004    1460.02 0.0000e+00
        364 28 May 2025 09:25:48     -0.100    13.3161   0.126359     3.7318 1.4928e+03    334.933    102.406     -0.099     0.0784    -0.6007    1460.01 0.0000e+00
        365 28 May 2025 09:25:48     -0.100    13.3141   0.125211   123.8489 1.4889e+03    334.980    102.417     -0.099     0.0777    -0.6009    1460.01 0.0000e+00
        366 28 May 2025 09:25:48     -0.100    13.3121   0.124024   123.8451 1.4805e+03    335.183    102.476     -0.099     0.0770    -0.6012    1460.00 0.0000e+00
        367 28 May 2025 09:25:49     -0.099    13.3101   0.122749   123.8508 1.4699e+03    335.039    102.429     -0.099     0.0762    -0.6016    1459.99 0.0000e+00
        368 28 May 2025 09:25:49     -0.099    13.3082   0.121322   123.8527 1.4750e+03    335.004    102.414     -0.099     0.0754    -0.6020    1459.98 0.0000e+00
        369 28 May 2025 09:25:49     -0.100    13.3062   0.119677     3.7909 1.4905e+03    334.949    102.393     -0.099     0.0744    -0.6025    1459.97 0.0000e+00
        370 28 May 2025 09:25:49     -0.099    13.3043   0.117825     3.7985 1.5036e+03    334.973    102.400     -0.099     0.0732    -0.6032    1459.96 0.0000e+00
        371 28 May 2025 09:25:49     -0.099    13.3025   0.115882   123.8508 1.5612e+03    334.839    102.351     -0.098     0.0721    -0.6038    1459.96 0.0000e+00
        372 28 May 2025 09:25:50     -0.099    13.3007   0.113989   123.8565 1.5351e+03    334.877    102.358     -0.098     0.0709    -0.6045    1459.95 0.0000e+00
        373 28 May 2025 09:25:50     -0.099    13.2991   0.112277     5.0670 1.5446e+03    334.889    102.357     -0.098     0.0699    -0.6051    1459.94 0.0000e+00
        374 28 May 2025 09:25:50     -0.099    13.2975   0.110816     5.0708 1.5500e+03    334.891    102.353     -0.098     0.0690    -0.6056    1459.93 0.0000e+00
        375 28 May 2025 09:25:50     -0.099    13.2959   0.109576     2.8887 1.5561e+03    335.016    102.387     -0.099     0.0683    -0.6059    1459.93 0.0000e+00
        376 28 May 2025 09:25:50     -0.099    13.2943   0.108522     2.8792 2.7736e+02    335.096    102.407     -0.099     0.0676    -0.6062    1459.92 0.0000e+00
        377 28 May 2025 09:25:50     -0.099    13.2928   0.107653    -0.0696 2.8779e+02    335.166    102.424     -0.099     0.0671    -0.6064    1459.91 0.0000e+00
        378 28 May 2025 09:25:52     -0.099    13.2912   0.106952    -0.0715 9.8369e+02    335.008    102.371     -0.098     0.0667    -0.6066    1459.91 0.0000e+00
        379 28 May 2025 09:25:52     -0.099    13.2896   0.106365    -0.0887 3.2296e+02    335.001    102.364     -0.098     0.0663    -0.6066    1459.90 0.0000e+00
        380 28 May 2025 09:25:52     -0.099    13.2881   0.105814    -0.0811 3.0044e+02    335.113    102.394     -0.098     0.0660    -0.6067    1459.90 0.0000e+00
        381 28 May 2025 09:25:52     -0.099    13.2866   0.105260    -0.1097 1.5605e+03    335.088    102.382     -0.098     0.0657    -0.6067    1459.89 0.0000e+00
        382 28 May 2025 09:25:52     -0.099    13.2852   0.104723     0.9413 2.9019e+02    335.054    102.367     -0.098     0.0653    -0.6068    1459.88 0.0000e+00
        383 28 May 2025 09:25:53     -0.099    13.2838   0.104203     0.9470 1.5311e+03    335.111    102.380     -0.098     0.0650    -0.6069    1459.88 0.0000e+00
        384 28 May 2025 09:25:53     -0.099    13.2823   0.103675     0.1116 1.5228e+03    335.316    102.439     -0.098     0.0647    -0.6069    1459.87 0.0000e+00
        385 28 May 2025 09:25:53     -0.099    13.2809   0.103115     0.1173 1.5550e+03    335.154    102.386     -0.098     0.0644    -0.6070    1459.87 0.0000e+00
        386 28 May 2025 09:25:53     -0.099    13.2794   0.102511     0.9184 1.5388e+03    335.260    102.415     -0.098     0.0640    -0.6071    1459.86 0.0000e+00
        387 28 May 2025 09:25:53     -0.099    13.2778   0.101865     0.9318 1.5639e+03    335.247    102.408     -0.098     0.0636    -0.6072    1459.86 0.0000e+00
        388 28 May 2025 09:25:54     -0.099    13.2761   0.101213   123.8394 1.5473e+03    335.341    102.434     -0.098     0.0632    -0.6073    1459.85 0.0000e+00
        389 28 May 2025 09:25:54     -0.099    13.2743   0.100592   123.8546 1.5378e+03    335.341    102.430     -0.098     0.0629    -0.6073    1459.84 0.0000e+00
        390 28 May 2025 09:25:54     -0.098    13.2723   0.099984    -0.0296 1.5238e+03    335.411    102.448     -0.098     0.0625    -0.6074    1459.83 0.0000e+00
        391 28 May 2025 09:25:54     -0.098    13.2704   0.099368    -0.0353 1.5115e+03    335.442    102.453     -0.097     0.0621    -0.6074    1459.83 0.0000e+00
        392 28 May 2025 09:25:54     -0.098    13.2685   0.098740    -0.0639 1.4951e+03    335.424    102.445     -0.097     0.0618    -0.6074    1459.82 0.0000e+00
        393 28 May 2025 09:25:54     -0.098    13.2666   0.098084    -0.0792 1.4938e+03    335.463    102.454     -0.097     0.0614    -0.6075    1459.81 0.0000e+00
        394 28 May 2025 09:25:56     -0.097    13.2647   0.097402     1.0386 1.4776e+03    335.419    102.437     -0.096     0.0610    -0.6076    1459.80 0.0000e+00
        395 28 May 2025 09:25:56     -0.097    13.2629   0.096718     1.0481 1.4824e+03    335.381    102.423     -0.096     0.0606    -0.6076    1459.80 0.0000e+00
        396 28 May 2025 09:25:56     -0.097    13.2610   0.096039     8.1397 1.4818e+03    335.306    102.397     -0.096     0.0602    -0.6077    1459.79 0.0000e+00
