       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
          1 28 May 2025 12:34:50     -0.103    10.8752   0.283564     0.2222 8.7982e+02    346.805    100.455     -0.102     0.1871    -0.2333    1450.95 0.0000e+00
          2 28 May 2025 12:34:50     -0.102    10.8753   0.282116   123.8375 9.2554e+02    346.680    100.419     -0.102     0.1861    -0.2340    1450.95 0.0000e+00
          3 28 May 2025 12:34:50     -0.102    10.8755   0.280029   123.8108 9.7194e+02    326.211    100.351     -0.101     0.1847    -0.2352    1450.95 0.0000e+00
          4 28 May 2025 12:34:50     -0.101    10.8757   0.278002     1.0882 9.6771e+02    310.318    100.365     -0.100     0.1834    -0.2363    1450.95 0.0000e+00
          5 28 May 2025 12:34:50     -0.100    10.8758   0.276705     1.0824 1.0158e+03    299.649    100.359     -0.099     0.1825    -0.2370    1450.95 0.0000e+00
          6 28 May 2025 12:34:50     -0.098    10.8760   0.276676   123.8088 1.0122e+03    298.507    100.497     -0.097     0.1825    -0.2370    1450.95 0.0000e+00
          7 28 May 2025 12:34:51     -0.097    10.8763   0.278378   123.8108 9.8584e+02    297.217    100.482     -0.096     0.1836    -0.2361    1450.95 0.0000e+00
          8 28 May 2025 12:34:51     -0.096    10.8766   0.282650     1.3781 9.9993e+02    296.111    100.441     -0.095     0.1865    -0.2339    1450.96 0.0000e+00
          9 28 May 2025 12:34:51     -0.094    10.8771   0.291165     1.3857 9.6034e+02    295.165    100.516     -0.093     0.1922    -0.2294    1450.96 0.0000e+00
         10 28 May 2025 12:34:51     -0.092    10.8779   0.306577     3.4152 9.4288e+02    294.292    100.524     -0.091     0.2027    -0.2213    1450.98 0.0000e+00
         11 28 May 2025 12:34:51     -0.089    10.8791   0.333190     3.4285 9.6602e+02    294.590    100.678     -0.089     0.2207    -0.2073    1451.01 0.0000e+00
         12 28 May 2025 12:34:52     -0.086    10.8809   0.378474     5.8070 9.2716e+02    295.119    100.853     -0.086     0.2516    -0.1832    1451.05 0.0000e+00
         13 28 May 2025 12:34:52     -0.083    10.8839   0.455068     5.8032 9.0515e+02    296.301    101.217     -0.082     0.3043    -0.1422    1451.13 0.0000e+00
         14 28 May 2025 12:34:52     -0.078    10.8887   0.584017   123.8165 9.1489e+02    298.596    101.873     -0.078     0.3939    -0.0724    1451.26 0.0000e+00
         15 28 May 2025 12:34:52     -0.073    10.8967   0.800491   123.8088 8.7541e+02    300.434    102.462     -0.072     0.5466     0.0464    1451.48 0.0000e+00
         16 28 May 2025 12:34:52     -0.065    10.9097   1.162953   123.8298 8.4369e+02    302.441    103.091     -0.065     0.8070     0.2489    1451.86 0.0000e+00
         17 28 May 2025 12:34:54     -0.056    10.9314   1.768539   123.8108 8.4111e+02    304.367    103.714     -0.056     1.2521     0.5946    1452.49 0.0000e+00
         18 28 May 2025 12:34:54     -0.045    10.9674   2.779226     3.4400 8.1276e+02    308.254    105.060     -0.044     2.0155     1.1865    1453.57 0.0000e+00
         19 28 May 2025 12:34:54     -0.030    11.0273   4.464967     3.4400 7.8143e+02    311.200    106.166     -0.030     3.3289     2.2025    1455.40 0.0000e+00
         20 28 May 2025 12:34:54     -0.011    11.1271   7.275496     2.5263 7.9122e+02    312.505    106.740     -0.011     5.5947     3.9510    1458.53 0.0000e+00
         21 28 May 2025 12:34:54      0.013    11.2886  11.193916     2.1410 7.6673e+02    312.012    106.615      0.013     8.8558     6.4584    1463.07 0.0000e+00
         22 28 May 2025 12:34:55      0.044    11.5141  15.247692     2.1296 7.2980e+02    308.985    105.592      0.044    12.2986     9.0920    1468.03 0.0000e+00
         23 28 May 2025 12:34:55      0.083    11.7668  18.470875     2.8697 4.6449e+02    303.858    103.851      0.082    15.0469    11.1801    1472.24 0.0000e+00
         24 28 May 2025 12:34:55      0.128    12.0040  20.617592     2.8925 4.4048e+02    296.915    101.479      0.127    16.8561    12.5420    1475.25 0.0000e+00
         25 28 May 2025 12:34:55      0.178    12.2057  21.951225     3.3427 6.1873e+02    288.897     98.736      0.176    17.9540    13.3582    1477.28 0.0000e+00
         26 28 May 2025 12:34:55      0.231    12.3656  22.822187     3.3579 7.2109e+02    280.580     95.885      0.229    18.6551    13.8739    1478.68 0.0000e+00
         27 28 May 2025 12:34:55      0.286    12.4830  23.427248     3.3503 7.5197e+02    273.005     93.285      0.283    19.1375    14.2269    1479.66 0.0000e+00
         28 28 May 2025 12:34:56      0.342    12.5626  23.845114     3.3408 7.6189e+02    266.562     91.060      0.338    19.4706    14.4708    1480.34 0.0000e+00
         29 28 May 2025 12:34:56      0.397    12.6124  24.104141     3.3885 5.3956e+02    261.327     89.279      0.394    19.6765    14.6214    1480.76 0.0000e+00
         30 28 May 2025 12:34:56      0.452    12.6411  24.241016     3.3885 7.9694e+02    257.599     88.027      0.447    19.7839    14.6995    1480.99 0.0000e+00
         31 28 May 2025 12:34:56      0.504    12.6552  24.296131     3.5201 4.4260e+02    254.996     87.146      0.499    19.8258    14.7295    1481.09 0.0000e+00
         32 28 May 2025 12:34:56      0.552    12.6585  24.309147     3.5220 6.9254e+02    253.155     86.520      0.547    19.8357    14.7365    1481.11 0.0000e+00
         33 28 May 2025 12:34:58      0.594    12.6531  24.319567     3.8729 3.9080e+02    252.053     86.136      0.589    19.8478    14.7468    1481.11 0.0000e+00
         34 28 May 2025 12:34:58      0.629    12.6412  24.348925     3.8977 9.0199e+02    251.052     85.779      0.624    19.8803    14.7738    1481.10 0.0000e+00
         35 28 May 2025 12:34:58      0.658    12.6278  24.400452     3.7776 4.1354e+02    250.398     85.544      0.652    19.9335    14.8171    1481.12 0.0000e+00
         36 28 May 2025 12:34:58      0.679    12.6190  24.468924     3.7566 4.6075e+02    249.784     85.329      0.673    19.9995    14.8695    1481.17 0.0000e+00
         37 28 May 2025 12:34:58      0.696    12.6177  24.543280     4.3345 6.7227e+02    249.242     85.142      0.690    20.0668    14.9216    1481.24 0.0000e+00
         38 28 May 2025 12:34:59      0.710    12.6227  24.607244     4.3174 4.9432e+02    248.861     85.011      0.703    20.1215    14.9629    1481.33 0.0000e+00
         39 28 May 2025 12:34:59      0.720    12.6308  24.647886     4.0198 4.4425e+02    248.882     85.013      0.713    20.1536    14.9864    1481.39 0.0000e+00
         40 28 May 2025 12:34:59      0.728    12.6391  24.666550     4.0217 3.1841e+02    249.242     85.130      0.721    20.1659    14.9945    1481.44 0.0000e+00
         41 28 May 2025 12:34:59      0.734    12.6462  24.671926     3.8977 3.9431e+02    249.823     85.324      0.727    20.1670    14.9941    1481.46 0.0000e+00
         42 28 May 2025 12:34:59      0.739    12.6515  24.669540     3.8825 4.7144e+02    250.452     85.535      0.733    20.1620    14.9894    1481.47 0.0000e+00
         43 28 May 2025 12:35:00      0.743    12.6551  24.662060     4.3231 7.7973e+02    251.354     85.839      0.737    20.1533    14.9821    1481.48 0.0000e+00
         44 28 May 2025 12:35:00      0.747    12.6573  24.651682     4.3250 4.2675e+02    252.202     86.123      0.740    20.1429    14.9736    1481.47 0.0000e+00
         45 28 May 2025 12:35:00      0.749    12.6586  24.640413     4.3097 4.4338e+02    253.148     86.439      0.742    20.1321    14.9651    1481.46 0.0000e+00
         46 28 May 2025 12:35:00      0.751    12.6595  24.631376     3.9263 5.6624e+02    254.147     86.776      0.744    20.1235    14.9584    1481.46 0.0000e+00
         47 28 May 2025 12:35:00      0.753    12.6607  24.627848     3.9244 4.7402e+02    254.920     87.051      0.746    20.1197    14.9552    1481.46 0.0000e+00
         48 28 May 2025 12:35:00      0.753    12.6623  24.628174     3.8634 4.5505e+02    255.561     87.300      0.746    20.1192    14.9545    1481.46 0.0000e+00
         49 28 May 2025 12:35:02      0.754    12.6639  24.627203     3.8748 5.1661e+02    256.027     87.479      0.747    20.1174    14.9529    1481.47 0.0000e+00
         50 28 May 2025 12:35:02      0.754    12.6653  24.621773     3.7184 5.1425e+02    256.328     87.592      0.748    20.1119    14.9484    1481.46 0.0000e+00
         51 28 May 2025 12:35:02      0.755    12.6660  24.611601     3.7127 5.4655e+02    256.111     87.526      0.748    20.1024    14.9409    1481.46 0.0000e+00
         52 28 May 2025 12:35:02      0.756    12.6662  24.598576     3.5563 4.7133e+02    255.586     87.356      0.749    20.0906    14.9318    1481.44 0.0000e+00
         53 28 May 2025 12:35:02      0.757    12.6661  24.585220     3.5716 4.2359e+02    254.629     87.039      0.750    20.0787    14.9226    1481.43 0.0000e+00
         54 28 May 2025 12:35:03      0.759    12.6662  24.572840     4.2239 7.9018e+02    253.116     86.527      0.752    20.0675    14.9140    1481.41 0.0000e+00
         55 28 May 2025 12:35:03      0.760    12.6666  24.561438     4.2258 4.9518e+02    251.607     86.013      0.753    20.0571    14.9059    1481.40 0.0000e+00
         56 28 May 2025 12:35:03      0.760    12.6672  24.550442     3.8996 6.0735e+02    250.039     85.482      0.753    20.0470    14.8980    1481.39 0.0000e+00
         57 28 May 2025 12:35:03      0.760    12.6676  24.539541     3.9035 6.2717e+02    248.828     85.079      0.753    20.0370    14.8902    1481.38 0.0000e+00
         58 28 May 2025 12:35:03      0.760    12.6678  24.529299     3.9130 7.2267e+02    247.900     84.763      0.753    20.0277    14.8830    1481.37 0.0000e+00
         59 28 May 2025 12:35:04      0.760    12.6677  24.520720     3.8939 5.2929e+02    247.291     84.550      0.753    20.0201    14.8772    1481.36 0.0000e+00
         60 28 May 2025 12:35:04      0.760    12.6672  24.514452     3.9187 4.8682e+02    247.094     84.473      0.753    20.0148    14.8732    1481.36 0.0000e+00
         61 28 May 2025 12:35:04      0.761    12.6662  24.510729     3.9359 3.7994e+02    247.018     84.427      0.754    20.0119    14.8712    1481.35 0.0000e+00
         62 28 May 2025 12:35:04      0.762    12.6650  24.509993     3.7089 4.9898e+02    247.412     84.552      0.755    20.0119    14.8714    1481.34 0.0000e+00
         63 28 May 2025 12:35:04      0.763    12.6636  24.513556     3.6955 4.8385e+02    246.601     84.267      0.756    20.0159    14.8746    1481.34 0.0000e+00
         64 28 May 2025 12:35:04      0.763    12.6625  24.523531     5.8413 4.6560e+02    245.871     84.011      0.756    20.0254    14.8822    1481.35 0.0000e+00
         65 28 May 2025 12:35:05      0.764    12.6619  24.541254     5.8471 6.2090e+02    244.866     83.690      0.757    20.0415    14.8947    1481.37 0.0000e+00
