       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        228 28 May 2025 13:04:00      1.009    12.3586  30.016664     3.6878 2.2023e+02    237.535     83.417      1.000    25.2127    18.9395    1486.43 0.0000e+00
        353 28 May 2025 13:04:31      2.019    12.3258  31.548088     3.1679 1.1174e+02    281.801     99.824      2.000    26.6576    20.0625    1488.04 0.0000e+00
        364 28 May 2025 13:04:34      3.028    12.2310  32.039948     2.7982 6.0560e+01    277.996     98.431      3.000    27.1858    20.4880    1488.36 0.0000e+00
        375 28 May 2025 13:04:37      4.037    12.0685  32.586578     2.3937 4.0187e+01    276.211     97.843      4.000    27.8192    21.0072    1488.56 0.0000e+00
        387 28 May 2025 13:04:39      5.046    11.9990  32.745653     2.3300 2.8473e+01    278.137     98.633      5.000    28.0211    21.1759    1488.58 0.0000e+00
        398 28 May 2025 13:04:42      6.055    12.0086  32.841922     2.3981 2.0068e+01    278.745     98.906      6.000    28.1047    21.2390    1488.73 0.0000e+00
        409 28 May 2025 13:04:45      7.064    11.9905  33.077237     2.4086 1.4131e+01    276.232     98.090      7.000    28.3410    21.4253    1488.96 0.0000e+00
        420 28 May 2025 13:04:48      8.074    11.9357  33.301167     2.0785 9.9277e+00    275.844     98.057      8.000    28.5951    21.6319    1489.09 0.0000e+00
        430 28 May 2025 13:04:50      9.083    11.9052  33.525974     2.0543 7.1282e+00    277.233     98.560      9.000    28.8321    21.8210    1489.28 0.0000e+00
        440 28 May 2025 13:04:53     10.092    11.8843  33.715445     1.8507 5.1595e+00    277.697     98.773     10.000    29.0286    21.9770    1489.46 0.0000e+00
        450 28 May 2025 13:04:55     11.101    11.8787  33.761609     1.9559 3.7827e+00    278.258     98.984     11.000    29.0766    22.0153    1489.52 0.0000e+00
        460 28 May 2025 13:04:58     12.111    11.8619  33.880037     2.0154 2.7705e+00    277.639     98.767     12.000    29.2024    22.1158    1489.63 0.0000e+00
        470 28 May 2025 13:05:00     13.120    11.8459  33.938705     2.0538 2.0360e+00    278.335     99.058     13.000    29.2706    22.1716    1489.67 0.0000e+00
        480 28 May 2025 13:05:03     14.129    11.8368  33.983991     1.9171 1.5211e+00    278.394     99.127     14.000    29.3207    22.2120    1489.71 0.0000e+00
        490 28 May 2025 13:05:05     15.138    11.8294  34.077695     1.8343 1.1405e+00    278.855     99.335     15.000    29.4158    22.2871    1489.82 0.0000e+00
        501 28 May 2025 13:05:08     16.148    11.8107  34.209767     1.8749 8.5790e-01    279.205     99.579     16.000    29.5566    22.3996    1489.93 0.0000e+00
        511 28 May 2025 13:05:10     17.157    11.8027  34.338756     1.8510 6.4666e-01    279.940     99.829     17.000    29.6862    22.5016    1490.08 0.0000e+00
        521 28 May 2025 13:05:13     18.166    11.7847  34.525566     1.9639 4.8502e-01    279.628     99.730     18.000    29.8795    22.6547    1490.26 0.0000e+00
        531 28 May 2025 13:05:15     19.176    11.7693  34.559465     1.7960 3.7498e-01    279.056     99.557     19.000    29.9240    22.6920    1490.28 0.0000e+00
        541 28 May 2025 13:05:18     20.185    11.7668  34.592475     1.9006 2.9027e-01    279.491     99.743     20.000    29.9573    22.7183    1490.33 0.0000e+00
        551 28 May 2025 13:05:20     21.194    11.7515  34.686847     1.8806 2.2364e-01    280.841    100.251     21.000    30.0599    22.8007    1490.41 0.0000e+00
        561 28 May 2025 13:05:23     22.203    11.7442  34.754468     1.9235 1.7652e-01    280.909    100.353     22.000    30.1304    22.8567    1490.49 0.0000e+00
        571 28 May 2025 13:05:26     23.213    11.7528  34.795100     1.8372 1.3902e-01    280.977    100.450     23.000    30.1621    22.8798    1490.57 0.0000e+00
        581 28 May 2025 13:05:28     24.222    11.7835  34.852867     1.7763 1.0657e-01    280.888    100.432     24.000    30.1924    22.8978    1490.73 0.0000e+00
        591 28 May 2025 13:05:31     25.231    11.7977  34.900332     1.8101 7.9161e-02    280.326    100.203     25.000    30.2261    22.9214    1490.84 0.0000e+00
        602 28 May 2025 13:05:33     26.240    11.7860  34.943231     1.8448 6.3017e-02    279.708     99.977     26.000    30.2764    22.9626    1490.88 0.0000e+00
        612 28 May 2025 13:05:36     27.250    11.7525  34.985828     1.7235 5.5822e-02    279.767    100.033     27.000    30.3443    23.0213    1490.86 0.0000e+00
        622 28 May 2025 13:05:38     28.259    11.7381  35.035276     1.6622 5.3892e-02    280.007    100.147     28.000    30.4033    23.0696    1490.89 0.0000e+00
        632 28 May 2025 13:05:41     29.268    11.7456  35.071675     1.7449 5.3184e-02    279.583    100.040     29.000    30.4318    23.0905    1490.97 0.0000e+00
        642 28 May 2025 13:05:43     30.278    11.7521  35.111491     1.6999 5.3096e-02    279.755    100.136     30.000    30.4645    23.1146    1491.05 0.0000e+00
        653 28 May 2025 13:05:46     31.287    11.7586  35.165769     1.8206 5.3109e-02    279.563    100.029     31.000    30.5110    23.1496    1491.14 0.0000e+00
        663 28 May 2025 13:05:49     32.296    11.7452  35.225594     1.6194 5.3092e-02    279.888    100.125     32.000    30.5792    23.2050    1491.19 0.0000e+00
