       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        196 28 May 2025 12:35:38      1.009    12.5716  25.712006     4.3411 3.2557e+02    228.772     78.874      1.000    21.1550    15.7695    1482.37 0.0000e+00
        312 28 May 2025 12:36:07      2.018    12.3875  29.430999     4.5183 1.2604e+02    269.876     94.979      2.000    24.6561    18.5045    1485.89 0.0000e+00
        323 28 May 2025 12:36:09      3.028    12.1169  30.984073     3.5817 6.6846e+01    266.916     94.197      3.000    26.2783    19.8059    1486.88 0.0000e+00
        332 28 May 2025 12:36:12      4.037    12.0294  31.683146     2.9579 4.2153e+01    264.932     93.577      4.000    26.9960    20.3767    1487.45 0.0000e+00
        341 28 May 2025 12:36:14      5.046    11.9538  32.292225     2.6538 2.7365e+01    265.921     94.003      5.000    27.6256    20.8776    1487.95 0.0000e+00
        350 28 May 2025 12:36:16      6.055    11.9414  32.482720     2.2927 1.8278e+01    267.184     94.533      6.000    27.8147    21.0262    1488.15 0.0000e+00
        359 28 May 2025 12:36:19      7.064    11.9469  32.610018     2.2553 1.2280e+01    268.319     94.998      7.000    27.9309    21.1153    1488.32 0.0000e+00
        368 28 May 2025 12:36:21      8.074    11.9555  32.740100     2.1965 8.4530e+00    268.449     95.087      8.000    28.0473    21.2040    1488.51 0.0000e+00
        378 28 May 2025 12:36:23      9.083    11.9608  32.835336     2.1697 5.9283e+00    268.629     95.206      9.000    28.1332    21.2696    1488.64 0.0000e+00
        387 28 May 2025 12:36:25     10.092    11.9640  32.899506     2.1762 4.2092e+00    269.467     95.573     10.000    28.1914    21.3141    1488.74 0.0000e+00
        396 28 May 2025 12:36:28     11.101    11.9692  32.984696     2.2390 2.9853e+00    270.251     95.886     11.000    28.2678    21.3725    1488.87 0.0000e+00
        404 28 May 2025 12:36:30     12.111    11.9760  33.085728     2.2005 2.1248e+00    271.054     96.207     12.000    28.3582    21.4413    1489.02 0.0000e+00
        413 28 May 2025 12:36:32     13.120    11.9782  33.144796     2.4316 1.5464e+00    272.797     96.834     13.000    28.4122    21.4827    1489.10 0.0000e+00
        422 28 May 2025 12:36:34     14.129    11.9799  33.199554     2.0700 1.1335e+00    272.998     96.934     14.000    28.4625    21.5215    1489.19 0.0000e+00
        431 28 May 2025 12:36:37     15.138    11.9808  33.218572     2.1913 8.3478e-01    273.710     97.216     15.000    28.4795    21.5344    1489.23 0.0000e+00
        441 28 May 2025 12:36:39     16.148    11.9822  33.263324     2.0514 6.1007e-01    274.226     97.431     16.000    28.5205    21.5660    1489.30 0.0000e+00
        450 28 May 2025 12:36:41     17.157    11.9836  33.310657     2.0177 4.5397e-01    274.936     97.790     17.000    28.5641    21.5996    1489.37 0.0000e+00
        459 28 May 2025 12:36:44     18.166    11.9848  33.370884     1.9256 3.3783e-01    275.922     98.212     18.000    28.6199    21.6426    1489.46 0.0000e+00
        468 28 May 2025 12:36:46     19.175    11.9960  33.516445     1.8345 2.5079e-01    275.515     98.152     19.000    28.7493    21.7409    1489.67 0.0000e+00
        478 28 May 2025 12:36:48     20.185    12.0105  33.607332     1.7608 1.8898e-01    275.445     98.236     20.000    28.8240    21.7962    1489.82 0.0000e+00
        487 28 May 2025 12:36:51     21.194    12.0279  33.707633     1.8566 1.4602e-01    274.946     98.161     21.000    28.9055    21.8563    1490.00 0.0000e+00
        497 28 May 2025 12:36:53     22.203    12.0509  33.832573     1.6989 1.0912e-01    274.983     98.214     22.000    29.0060    21.9300    1490.21 0.0000e+00
        506 28 May 2025 12:36:55     23.213    12.0750  33.926639     1.5634 7.7307e-02    274.896     98.189     23.000    29.0763    21.9801    1490.40 0.0000e+00
        515 28 May 2025 12:36:57     24.222    12.0832  33.969180     1.5985 6.2658e-02    274.886     98.223     24.000    29.1099    22.0047    1490.48 0.0000e+00
        524 28 May 2025 12:37:00     25.231    12.0847  33.982035     1.6129 5.3723e-02    274.614     98.162     25.000    29.1206    22.0128    1490.52 0.0000e+00
        533 28 May 2025 12:37:02     26.241    12.0928  34.020577     1.5870 5.3247e-02    274.815     98.267     26.000    29.1505    22.0345    1490.60 0.0000e+00
        542 28 May 2025 12:37:04     27.250    12.1038  34.055024     1.5519 5.3115e-02    274.437     98.179     27.000    29.1743    22.0509    1490.68 0.0000e+00
        551 28 May 2025 12:37:07     28.259    12.1147  34.085613     1.5536 5.3113e-02    274.529     98.262     28.000    29.1944    22.0646    1490.76 0.0000e+00
