       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        358 23 May 2025 11:21:15      1.009    14.2601  32.700614     1.5142 9.7188e+02    306.067    112.162      1.000    26.3651    19.4748    1494.24 0.0000e+00
        420 23 May 2025 11:21:31      2.018    13.9867  32.512991     1.6923 5.7210e+02    300.781    106.434      2.000    26.3834    19.5421    1493.37 0.0000e+00
        430 23 May 2025 11:21:33      3.028    13.1274  31.918607     2.8778 2.6298e+02    292.154    102.099      3.000    26.4370    19.7462    1490.55 0.0000e+00
        440 23 May 2025 11:21:36      4.037    12.1627  31.396719     4.0378 1.4178e+02    275.425     96.131      4.000    26.6312    20.0709    1487.48 0.0000e+00
        450 23 May 2025 11:21:38      5.046    11.6914  31.285522     9.3378 9.4525e+01    253.446     87.835      5.000    26.8637    20.3328    1486.12 0.0000e+00
        459 23 May 2025 11:21:41      6.055    11.5588  31.303717    20.4639 6.9064e+01    203.025     70.048      6.000    26.9765    20.4429    1485.80 0.0000e+00
        469 23 May 2025 11:21:43      7.064    11.2444  31.100743    16.9980 4.7219e+01    169.718     58.448      7.000    27.0115    20.5230    1484.75 0.0000e+00
        479 23 May 2025 11:21:45      8.074    11.0463  31.029648     8.2245 2.8981e+01    183.477     62.958      8.000    27.0881    20.6154    1484.15 0.0000e+00
        489 23 May 2025 11:21:48      9.083    10.9415  30.959014     7.1299 1.8438e+01    200.862     68.811      9.000    27.0967    20.6394    1483.80 0.0000e+00
        499 23 May 2025 11:21:50     10.092    10.7840  30.862874     5.4726 1.2575e+01    207.589     70.876     10.000    27.1195    20.6829    1483.28 0.0000e+00
        509 23 May 2025 11:21:53     11.101    10.7018  30.798892     4.2677 8.7513e+00    232.656     79.193     11.000    27.1178    20.6949    1482.99 0.0000e+00
        519 23 May 2025 11:21:55     12.111    10.5391  30.655183     3.2092 6.2097e+00    248.857     84.676     12.000    27.0981    20.7056    1482.40 0.0000e+00
        529 23 May 2025 11:21:58     13.120    10.4283  30.600633     2.2831 4.4427e+00    253.685     86.364     13.000    27.1268    20.7456    1482.05 0.0000e+00
        539 23 May 2025 11:22:01     14.129    10.4090  30.606084     2.3919 3.2462e+00    253.857     86.506     14.000    27.1461    20.7637    1482.02 0.0000e+00
        549 23 May 2025 11:22:03     15.138    10.4366  30.657136     2.2503 2.3932e+00    255.647     87.137     15.000    27.1752    20.7820    1482.17 0.0000e+00
        559 23 May 2025 11:22:06     16.148    10.4687  30.694006     2.3993 1.7787e+00    256.193     87.479     16.000    27.1869    20.7860    1482.32 0.0000e+00
        569 23 May 2025 11:22:08     17.157    10.4840  30.722939     1.9102 1.3359e+00    256.807     87.816     17.000    27.2034    20.7964    1482.41 0.0000e+00
        579 23 May 2025 11:22:11     18.166    10.5616  30.831044     1.8340 1.0176e+00    258.556     88.442     18.000    27.2508    20.8209    1482.76 0.0000e+00
        589 23 May 2025 11:22:13     19.175    10.6070  30.875904     1.4939 7.6824e-01    261.018     89.409     19.000    27.2603    20.8210    1482.96 0.0000e+00
        598 23 May 2025 11:22:15     20.185    10.6232  30.909239     1.3301 5.8097e-01    260.199     89.240     20.000    27.2804    20.8341    1483.06 0.0000e+00
        608 23 May 2025 11:22:18     21.194    10.6817  30.989219     1.3323 4.4731e-01    260.290     89.281     21.000    27.3143    20.8510    1483.32 0.0000e+00
        618 23 May 2025 11:22:20     22.203    10.7260  31.027401     1.4382 3.5256e-01    261.245     89.623     22.000    27.3180    20.8467    1483.50 0.0000e+00
        627 23 May 2025 11:22:23     23.213    10.7311  31.041987     1.3775 2.7558e-01    262.410     90.060     23.000    27.3281    20.8537    1483.55 0.0000e+00
        637 23 May 2025 11:22:25     24.222    10.7317  31.050153     1.2880 2.1357e-01    262.645     90.246     24.000    27.3352    20.8592    1483.58 0.0000e+00
        647 23 May 2025 11:22:27     25.231    10.7543  31.095475     1.2989 1.6971e-01    262.119     90.209     25.000    27.3620    20.8763    1483.71 0.0000e+00
        657 23 May 2025 11:22:30     26.240    10.8027  31.150715     1.2307 1.4008e-01    260.697     89.784     26.000    27.3792    20.8818    1483.92 0.0000e+00
        667 23 May 2025 11:22:32     27.250    10.8688  31.231691     1.3308 1.0992e-01    260.581     89.677     27.000    27.4080    20.8935    1484.21 0.0000e+00
        677 23 May 2025 11:22:35     28.259    10.8839  31.231278     1.2963 8.4507e-02    261.278     90.006     28.000    27.3960    20.8817    1484.27 0.0000e+00
        687 23 May 2025 11:22:37     29.269    10.8653  31.227409     1.2716 6.4013e-02    260.496     89.801     29.000    27.4058    20.8923    1484.23 0.0000e+00
        697 23 May 2025 11:22:40     30.278    10.9043  31.275898     1.3046 5.6443e-02    259.942     89.771     30.000    27.4233    20.8996    1484.41 0.0000e+00
        707 23 May 2025 11:22:42     31.287    10.9365  31.320622     1.2471 5.3172e-02    258.154     89.269     31.000    27.4422    20.9089    1484.56 0.0000e+00
        717 23 May 2025 11:22:45     32.297    11.0135  31.409512     1.1667 5.3253e-02    257.635     89.152     32.000    27.4703    20.9181    1484.89 0.0000e+00
        726 23 May 2025 11:22:47     33.306    11.0641  31.458624     1.8648 5.3070e-02    257.870     89.271     33.000    27.4797    20.9170    1485.10 0.0000e+00
        736 23 May 2025 11:22:50     34.315    11.0883  31.482289     1.1292 5.3111e-02    257.742     89.307     34.000    27.4840    20.9164    1485.20 0.0000e+00
        746 23 May 2025 11:22:52     35.324    11.1123  31.517659     1.1472 5.3097e-02    257.140     89.115     35.000    27.4998    20.9247    1485.33 0.0000e+00
        756 23 May 2025 11:22:55     36.334    11.1459  31.551323     1.2046 5.3071e-02    257.299     89.152     36.000    27.5069    20.9246    1485.47 0.0000e+00
        767 23 May 2025 11:22:57     37.343    11.1483  31.550488     1.0784 5.3097e-02    257.641     89.303     37.000    27.5040    20.9220    1485.49 0.0000e+00
        777 23 May 2025 11:23:00     38.352    11.1416  31.546279     1.0749 5.3109e-02    257.102     89.212     38.000    27.5045    20.9235    1485.48 0.0000e+00
        787 23 May 2025 11:23:02     39.362    11.1669  31.589981     1.1061 5.3084e-02    256.808     89.072     39.000    27.5274    20.9371    1485.62 0.0000e+00
        797 23 May 2025 11:23:05     40.371    11.1970  31.609370     1.0754 5.3107e-02    256.709     89.157     40.000    27.5232    20.9288    1485.74 0.0000e+00
        807 23 May 2025 11:23:08     41.381    11.1918  31.619109     1.0461 5.3089e-02    256.186     89.179     41.000    27.5361    20.9397    1485.75 0.0000e+00
        817 23 May 2025 11:23:10     42.390    11.2539  31.703812     1.0699 5.3092e-02    257.190     89.617     42.000    27.5709    20.9563    1486.03 0.0000e+00
