       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        301 23 May 2025 09:19:19      0.893    11.8500  36.745323     1.1111 1.2837e+03    320.555    115.993      0.885    31.9712    24.2654    1492.70 0.0000e+00
        302 23 May 2025 09:19:19      0.892    11.8498  36.745491     1.3304 7.4640e+02    320.434    115.953      0.884    31.9715    24.2657    1492.70 0.0000e+00
        303 23 May 2025 09:19:20      0.892    11.8497  36.745808     1.3228 7.3765e+02    320.479    115.967      0.884    31.9719    24.2660    1492.70 0.0000e+00
        304 23 May 2025 09:19:20      0.892    11.8495  36.746490     0.9985 1.8410e+03    320.469    115.964      0.884    31.9727    24.2667    1492.70 0.0000e+00
        305 23 May 2025 09:19:20      0.893    11.8491  36.747646     1.0176 8.8251e+02    320.396    115.938      0.885    31.9742    24.2679    1492.71 0.0000e+00
        306 23 May 2025 09:19:20      0.894    11.8484  36.749130     1.3895 1.5998e+03    320.459    115.958      0.886    31.9763    24.2696    1492.70 0.0000e+00
        307 23 May 2025 09:19:20      0.895    11.8472  36.750408     1.3800 1.5053e+03    320.258    115.884      0.886    31.9785    24.2716    1492.70 0.0000e+00
        308 23 May 2025 09:19:20      0.895    11.8460  36.751099     1.1511 1.0043e+03    320.149    115.848      0.887    31.9802    24.2732    1492.70 0.0000e+00
        309 23 May 2025 09:19:21      0.895    11.8450  36.751350     1.1301 8.2745e+02    320.250    115.885      0.887    31.9814    24.2742    1492.70 0.0000e+00
        310 23 May 2025 09:19:21      0.895    11.8443  36.751446     1.2198 6.2813e+02    320.276    115.894      0.887    31.9820    24.2748    1492.70 0.0000e+00
        311 23 May 2025 09:19:21      0.895    11.8441  36.751511     1.2083 1.2334e+03    320.347    115.917      0.887    31.9823    24.2751    1492.70 0.0000e+00
        312 23 May 2025 09:19:21      0.894    11.8439  36.751572     1.0176 9.7449e+02    320.250    115.879      0.886    31.9825    24.2752    1492.70 0.0000e+00
        313 23 May 2025 09:19:21      0.893    11.8439  36.751545     1.0119 1.2240e+03    320.200    115.866      0.885    31.9825    24.2753    1492.70 0.0000e+00
        314 23 May 2025 09:19:23      0.892    11.8440  36.751514     1.1263 7.3685e+02    319.982    115.781      0.884    31.9824    24.2752    1492.70 0.0000e+00
        315 23 May 2025 09:19:23      0.892    11.8440  36.751644     1.2350 1.4212e+03    320.380    115.923      0.884    31.9824    24.2752    1492.70 0.0000e+00
        316 23 May 2025 09:19:23      0.892    11.8441  36.751858     1.2255 8.7331e+02    320.048    115.802      0.884    31.9826    24.2754    1492.70 0.0000e+00
        317 23 May 2025 09:19:23      0.893    11.8440  36.752136     0.9756 1.7942e+03    319.958    115.750      0.885    31.9830    24.2757    1492.70 0.0000e+00
        318 23 May 2025 09:19:23      0.893    11.8439  36.752644     0.9775 9.2878e+02    319.757    115.675      0.885    31.9836    24.2761    1492.70 0.0000e+00
        319 23 May 2025 09:19:24      0.893    11.8438  36.753471     1.0424 8.7560e+02    319.618    115.633      0.885    31.9844    24.2768    1492.70 0.0000e+00
        320 23 May 2025 09:19:24      0.893    11.8436  36.754478     1.0386 1.4034e+03    319.617    115.637      0.885    31.9855    24.2777    1492.70 0.0000e+00
        321 23 May 2025 09:19:24      0.893    11.8434  36.755466     1.1626 1.0735e+03    319.874    115.734      0.885    31.9867    24.2787    1492.70 0.0000e+00
        322 23 May 2025 09:19:24      0.893    11.8429  36.756458     1.1740 1.2642e+03    320.010    115.787      0.885    31.9880    24.2798    1492.70 0.0000e+00
        323 23 May 2025 09:19:24      0.893    11.8424  36.757446     1.1988 6.4242e+02    320.032    115.798      0.885    31.9894    24.2809    1492.70 0.0000e+00
        324 23 May 2025 09:19:24      0.893    11.8419  36.758339     1.2026 7.7990e+02    320.191    115.855      0.885    31.9908    24.2821    1492.70 0.0000e+00
        325 23 May 2025 09:19:25      0.893    11.8414  36.759293     1.2236 1.3685e+03    320.729    116.049      0.885    31.9921    24.2832    1492.70 0.0000e+00
        326 23 May 2025 09:19:25      0.893    11.8409  36.760490     1.2236 1.0730e+03    320.937    116.124      0.885    31.9937    24.2845    1492.70 0.0000e+00
        327 23 May 2025 09:19:25      0.893    11.8403  36.761875     1.2846 9.9840e+02    320.862    116.097      0.885    31.9956    24.2861    1492.70 0.0000e+00
        328 23 May 2025 09:19:25      0.893    11.8393  36.763302     1.2770 1.6058e+03    320.467    115.950      0.885    31.9978    24.2880    1492.70 0.0000e+00
        329 23 May 2025 09:19:25      0.893    11.8381  36.764774     1.1740 7.4951e+02    320.759    116.052      0.885    32.0002    24.2901    1492.70 0.0000e+00
        330 23 May 2025 09:19:27      0.893    11.8367  36.766533     1.1683 1.8394e+03    320.068    115.806      0.885    32.0031    24.2926    1492.70 0.0000e+00
        331 23 May 2025 09:19:27      0.894    11.8351  36.768715     1.3209 1.3049e+03    320.384    115.921      0.885    32.0067    24.2957    1492.70 0.0000e+00
        332 23 May 2025 09:19:27      0.894    11.8330  36.771084     1.3247 1.3751e+03    320.540    115.978      0.886    32.0107    24.2992    1492.69 0.0000e+00
        333 23 May 2025 09:19:27      0.894    11.8306  36.773273     1.2312 1.5632e+03    319.847    115.727      0.886    32.0149    24.3029    1492.69 0.0000e+00
        334 23 May 2025 09:19:27      0.894    11.8283  36.774193     1.2083 7.7735e+02    319.820    115.716      0.886    32.0178    24.3055    1492.69 0.0000e+00
        335 23 May 2025 09:19:28      0.894    11.8267  36.773186     1.8339 1.2235e+03    319.594    115.637      0.886    32.0182    24.3061    1492.68 0.0000e+00
        336 23 May 2025 09:19:28      0.894    11.8264  36.771366     1.8473 1.1325e+03    319.348    115.556      0.886    32.0167    24.3050    1492.68 0.0000e+00
