       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        301 23 May 2025 11:21:01      0.943    14.6882  32.849548     1.5421 9.3611e+02    311.685    114.528      0.935    26.2077    19.2687    1495.46 0.0000e+00
        302 23 May 2025 11:21:01      0.944    14.5671  32.792412     1.5726 8.4166e+02    310.491    114.092      0.935    26.2387    19.3168    1495.10 0.0000e+00
        303 23 May 2025 11:21:01      0.943    14.4679  32.756458     1.5822 1.1207e+03    309.657    113.784      0.935    26.2738    19.3635    1494.81 0.0000e+00
        304 23 May 2025 11:21:01      0.943    14.3960  32.733982     1.4830 1.1697e+03    308.812    113.471      0.934    26.3026    19.3999    1494.61 0.0000e+00
        305 23 May 2025 11:21:03      0.943    14.3469  32.720078     1.4601 8.8657e+02    308.302    113.282      0.934    26.3235    19.4256    1494.47 0.0000e+00
        306 23 May 2025 11:21:03      0.943    14.3146  32.711666     1.5307 1.0749e+03    307.689    113.056      0.935    26.3380    19.4432    1494.38 0.0000e+00
        307 23 May 2025 11:21:03      0.944    14.2936  32.706638     1.5326 1.1209e+03    307.432    112.964      0.935    26.3477    19.4548    1494.33 0.0000e+00
        308 23 May 2025 11:21:03      0.944    14.2806  32.703655     1.5135 7.2346e+02    306.803    112.739      0.936    26.3539    19.4621    1494.29 0.0000e+00
        309 23 May 2025 11:21:03      0.944    14.2729  32.701916     1.4963 9.3101e+02    306.646    112.681      0.935    26.3576    19.4665    1494.27 0.0000e+00
        310 23 May 2025 11:21:04      0.943    14.2684  32.700832     1.4715 9.8090e+02    306.573    112.651      0.934    26.3597    19.4690    1494.26 0.0000e+00
        311 23 May 2025 11:21:04      0.942    14.2656  32.700047     1.4792 1.0625e+03    306.327    112.559      0.934    26.3609    19.4705    1494.25 0.0000e+00
        312 23 May 2025 11:21:04      0.942    14.2633  32.699425     1.4754 9.7300e+02    306.078    112.468      0.934    26.3619    19.4717    1494.24 0.0000e+00
        313 23 May 2025 11:21:04      0.942    14.2614  32.698963     1.4696 7.2551e+02    305.810    112.370      0.934    26.3628    19.4727    1494.24 0.0000e+00
        314 23 May 2025 11:21:04      0.943    14.2600  32.698734     1.5440 8.3034e+02    305.642    112.312      0.934    26.3635    19.4736    1494.23 0.0000e+00
        315 23 May 2025 11:21:04      0.943    14.2593  32.698677     1.5288 6.9163e+02    305.329    112.199      0.934    26.3639    19.4740    1494.23 0.0000e+00
        316 23 May 2025 11:21:05      0.943    14.2592  32.698639     1.5269 8.6723e+02    305.279    112.179      0.934    26.3640    19.4741    1494.23 0.0000e+00
        317 23 May 2025 11:21:05      0.943    14.2595  32.698509     1.4677 2.9404e+03    305.212    112.153      0.934    26.3637    19.4738    1494.23 0.0000e+00
        318 23 May 2025 11:21:05      0.943    14.2603  32.698383     1.4811 7.8348e+02    305.288    112.180      0.934    26.3630    19.4732    1494.23 0.0000e+00
        319 23 May 2025 11:21:05      0.943    14.2612  32.698456     1.4792 1.0160e+03    305.346    112.204      0.934    26.3625    19.4725    1494.24 0.0000e+00
        320 23 May 2025 11:21:05      0.943    14.2619  32.698677     1.4658 6.5703e+02    305.206    112.155      0.934    26.3622    19.4722    1494.24 0.0000e+00
        321 23 May 2025 11:21:07      0.943    14.2622  32.698906     1.5040 1.1345e+03    305.286    112.187      0.934    26.3622    19.4721    1494.24 0.0000e+00
        322 23 May 2025 11:21:07      0.943    14.2622  32.699093     1.4925 8.2240e+02    305.231    112.169      0.935    26.3623    19.4722    1494.24 0.0000e+00
        323 23 May 2025 11:21:07      0.944    14.2622  32.699276     1.4715 1.4873e+03    305.263    112.181      0.935    26.3625    19.4724    1494.24 0.0000e+00
        324 23 May 2025 11:21:07      0.944    14.2624  32.699493     1.4658 1.2307e+03    305.297    112.191      0.935    26.3626    19.4724    1494.24 0.0000e+00
        325 23 May 2025 11:21:07      0.943    14.2630  32.699738     1.5440 9.6349e+02    305.191    112.151      0.935    26.3624    19.4721    1494.24 0.0000e+00
        326 23 May 2025 11:21:08      0.943    14.2636  32.699963     1.5250 8.5800e+02    305.287    112.187      0.934    26.3622    19.4718    1494.24 0.0000e+00
        327 23 May 2025 11:21:08      0.943    14.2639  32.700157     1.4963 1.1303e+03    305.451    112.248      0.934    26.3621    19.4718    1494.24 0.0000e+00
        328 23 May 2025 11:21:08      0.943    14.2639  32.700352     1.5040 6.7183e+02    305.419    112.235      0.935    26.3623    19.4719    1494.24 0.0000e+00
        329 23 May 2025 11:21:08      0.944    14.2638  32.700581     1.5078 1.0625e+03    305.502    112.262      0.936    26.3626    19.4721    1494.24 0.0000e+00
        330 23 May 2025 11:21:08      0.945    14.2639  32.700821     1.4963 7.1983e+02    305.651    112.312      0.936    26.3627    19.4722    1494.24 0.0000e+00
        331 23 May 2025 11:21:09      0.944    14.2643  32.700989     1.5459 1.2100e+03    305.680    112.319      0.936    26.3626    19.4720    1494.25 0.0000e+00
        332 23 May 2025 11:21:09      0.944    14.2648  32.701035     1.5402 1.3781e+03    305.614    112.296      0.936    26.3623    19.4717    1494.25 0.0000e+00
        333 23 May 2025 11:21:09      0.944    14.2653  32.700989     1.5688 8.9123e+02    305.531    112.269      0.936    26.3620    19.4713    1494.25 0.0000e+00
        334 23 May 2025 11:21:09      0.945    14.2655  32.700939     1.5536 8.5239e+02    305.566    112.284      0.936    26.3617    19.4711    1494.25 0.0000e+00
        335 23 May 2025 11:21:09      0.945    14.2657  32.701027     1.4963 8.7656e+02    305.606    112.300      0.936    26.3617    19.4711    1494.25 0.0000e+00
        336 23 May 2025 11:21:09      0.945    14.2660  32.701271     1.5078 8.9767e+02    305.494    112.253      0.937    26.3617    19.4710    1494.25 0.0000e+00
        337 23 May 2025 11:21:10      0.945    14.2665  32.701576     1.4773 6.9892e+02    305.438    112.225      0.936    26.3616    19.4709    1494.25 0.0000e+00
        338 23 May 2025 11:21:10      0.945    14.2672  32.701817     1.4887 1.0158e+03    305.419    112.216      0.936    26.3614    19.4705    1494.25 0.0000e+00
        339 23 May 2025 11:21:10      0.945    14.2679  32.701981     1.4391 1.9048e+03    305.573    112.273      0.937    26.3611    19.4702    1494.26 0.0000e+00
        340 23 May 2025 11:21:10      0.945    14.2684  32.702129     1.4410 9.7300e+02    305.560    112.269      0.937    26.3609    19.4699    1494.26 0.0000e+00
        341 23 May 2025 11:21:10      0.946    14.2685  32.702293     1.4334 1.1984e+03    305.660    112.301      0.937    26.3609    19.4699    1494.26 0.0000e+00
        342 23 May 2025 11:21:12      0.946    14.2684  32.702477     1.5059 8.1152e+02    305.791    112.344      0.938    26.3612    19.4701    1494.26 0.0000e+00
        343 23 May 2025 11:21:12      0.946    14.2682  32.702652     1.5040 9.0614e+02    305.949    112.400      0.938    26.3615    19.4704    1494.26 0.0000e+00
        344 23 May 2025 11:21:12      0.947    14.2680  32.702747     1.4391 8.4646e+02    305.893    112.380      0.938    26.3617    19.4706    1494.26 0.0000e+00
        345 23 May 2025 11:21:12      0.947    14.2676  32.702732     1.4353 7.3284e+02    306.010    112.426      0.938    26.3619    19.4708    1494.26 0.0000e+00
        346 23 May 2025 11:21:12      0.947    14.2670  32.702660     1.6165 9.9514e+02    305.954    112.406      0.938    26.3622    19.4712    1494.25 0.0000e+00
        347 23 May 2025 11:21:13      0.947    14.2661  32.702652     1.6032 6.6672e+02    305.841    112.361      0.938    26.3629    19.4719    1494.25 0.0000e+00
        348 23 May 2025 11:21:13      0.947    14.2651  32.702747     1.4944 1.3629e+03    305.813    112.351      0.938    26.3637    19.4727    1494.25 0.0000e+00
        349 23 May 2025 11:21:13      0.947    14.2643  32.702942     1.5002 9.7025e+02    305.630    112.287      0.938    26.3644    19.4734    1494.25 0.0000e+00
        350 23 May 2025 11:21:13      0.946    14.2639  32.703186     1.4944 1.1087e+03    305.616    112.282      0.938    26.3649    19.4738    1494.25 0.0000e+00
        351 23 May 2025 11:21:13      0.946    14.2639  32.703327     1.5078 1.3305e+03    305.758    112.332      0.937    26.3650    19.4740    1494.25 0.0000e+00
        352 23 May 2025 11:21:13      0.946    14.2638  32.703320     1.4696 7.6924e+02    305.778    112.336      0.937    26.3651    19.4740    1494.25 0.0000e+00
        353 23 May 2025 11:21:14      0.946    14.2632  32.703220     1.4601 9.8562e+02    305.964    112.397      0.937    26.3653    19.4744    1494.25 0.0000e+00
        354 23 May 2025 11:21:14      0.946    14.2621  32.703072     1.4715 1.0584e+03    306.121    112.451      0.937    26.3660    19.4751    1494.24 0.0000e+00
        355 23 May 2025 11:21:14      0.946    14.2607  32.703007     1.4792 7.4657e+02    306.186    112.474      0.937    26.3669    19.4760    1494.24 0.0000e+00
        356 23 May 2025 11:21:14      0.946    14.2594  32.703098     1.5269 8.8232e+02    306.304    112.519      0.937    26.3678    19.4770    1494.24 0.0000e+00
        357 23 May 2025 11:21:14      0.945    14.2584  32.703259     1.5307 1.3671e+03    306.379    112.546      0.937    26.3687    19.4779    1494.23 0.0000e+00
        358 23 May 2025 11:21:16      0.945    14.2573  32.703438     1.4162 1.2044e+03    306.280    112.511      0.937    26.3695    19.4787    1494.23 0.0000e+00
        359 23 May 2025 11:21:16      0.945    14.2561  32.703644     1.4105 6.8576e+02    306.395    112.555      0.937    26.3706    19.4798    1494.23 0.0000e+00
        360 23 May 2025 11:21:16      0.945    14.2549  32.703884     1.4830 5.7988e+02    306.399    112.554      0.937    26.3716    19.4808    1494.23 0.0000e+00
        361 23 May 2025 11:21:16      0.946    14.2540  32.704208     1.5040 6.2799e+02    306.370    112.541      0.937    26.3725    19.4817    1494.22 0.0000e+00
        362 23 May 2025 11:21:16      0.946    14.2535  32.704685     1.4601 6.8937e+02    306.277    112.506      0.937    26.3733    19.4824    1494.22 0.0000e+00
        363 23 May 2025 11:21:17      0.947    14.2533  32.705303     1.4696 8.0376e+02    306.329    112.525      0.938    26.3740    19.4830    1494.22 0.0000e+00
        364 23 May 2025 11:21:17      0.947    14.2530  32.705868     1.4963 9.5178e+02    306.173    112.468      0.938    26.3747    19.4836    1494.22 0.0000e+00
        365 23 May 2025 11:21:17      0.946    14.2526  32.706249     1.5250 7.0305e+02    306.118    112.447      0.938    26.3753    19.4841    1494.22 0.0000e+00
        366 23 May 2025 11:21:17      0.946    14.2524  32.706566     1.5269 1.0524e+03    306.107    112.452      0.937    26.3757    19.4845    1494.22 0.0000e+00
        367 23 May 2025 11:21:17      0.946    14.2521  32.706936     1.5326 1.7708e+03    306.168    112.484      0.937    26.3763    19.4849    1494.22 0.0000e+00
        368 23 May 2025 11:21:18      0.946    14.2515  32.707394     1.5250 1.3818e+03    306.102    112.465      0.937    26.3771    19.4857    1494.22 0.0000e+00
        369 23 May 2025 11:21:18      0.947    14.2504  32.707920     1.5059 8.8715e+02    305.962    112.415      0.938    26.3783    19.4868    1494.22 0.0000e+00
        370 23 May 2025 11:21:18      0.947    14.2489  32.708431     1.5040 1.0056e+03    305.893    112.392      0.938    26.3797    19.4882    1494.21 0.0000e+00
        371 23 May 2025 11:21:18      0.947    14.2473  32.708813     1.5536 7.6439e+02    305.931    112.411      0.938    26.3812    19.4896    1494.21 0.0000e+00
        372 23 May 2025 11:21:18      0.946    14.2461  32.709003     1.5517 6.9269e+02    305.769    112.355      0.938    26.3822    19.4907    1494.21 0.0000e+00
        373 23 May 2025 11:21:18      0.946    14.2453  32.709080     1.5822 1.1674e+03    305.813    112.374      0.937    26.3828    19.4913    1494.21 0.0000e+00
        374 23 May 2025 11:21:20      0.945    14.2449  32.709122     1.5974 7.9382e+02    305.645    112.314      0.936    26.3831    19.4916    1494.21 0.0000e+00
        375 23 May 2025 11:21:20      0.945    14.2448  32.709179     1.5078 8.5893e+02    305.745    112.350      0.937    26.3832    19.4917    1494.21 0.0000e+00
        376 23 May 2025 11:21:20      0.946    14.2448  32.709316     1.5021 1.1001e+03    305.753    112.352      0.937    26.3834    19.4918    1494.21 0.0000e+00
        377 23 May 2025 11:21:20      0.947    14.2447  32.709480     1.6241 1.3381e+03    305.958    112.422      0.938    26.3835    19.4920    1494.21 0.0000e+00
        378 23 May 2025 11:21:20      0.947    14.2445  32.709572     1.6241 1.1134e+03    305.758    112.348      0.939    26.3838    19.4922    1494.20 0.0000e+00
        379 23 May 2025 11:21:21      0.947    14.2442  32.709534     1.5574 6.8248e+02    305.527    112.261      0.938    26.3839    19.4924    1494.20 0.0000e+00
        380 23 May 2025 11:21:21      0.947    14.2442  32.709343     1.5574 9.0357e+02    305.421    112.224      0.938    26.3837    19.4922    1494.20 0.0000e+00
        381 23 May 2025 11:21:21      0.946    14.2446  32.708958     1.4944 9.5323e+02    305.429    112.230      0.938    26.3831    19.4917    1494.20 0.0000e+00
        382 23 May 2025 11:21:21      0.947    14.2456  32.708324     1.5078 1.9249e+03    305.292    112.179      0.938    26.3819    19.4906    1494.21 0.0000e+00
        383 23 May 2025 11:21:21      0.947    14.2473  32.707581     1.5936 6.9648e+02    305.436    112.225      0.939    26.3801    19.4888    1494.21 0.0000e+00
        384 23 May 2025 11:21:22      0.948    14.2497  32.707050     1.5784 1.0646e+03    305.586    112.273      0.939    26.3780    19.4868    1494.22 0.0000e+00
        385 23 May 2025 11:21:22      0.948    14.2524  32.706764     1.4334 8.5818e+02    305.556    112.255      0.939    26.3759    19.4846    1494.22 0.0000e+00
        386 23 May 2025 11:21:22      0.948    14.2549  32.706532     1.4315 1.6054e+03    305.706    112.305      0.940    26.3740    19.4827    1494.23 0.0000e+00
        387 23 May 2025 11:21:22      0.949    14.2570  32.706276     1.5784 1.0017e+03    305.717    112.307      0.940    26.3723    19.4809    1494.23 0.0000e+00
        388 23 May 2025 11:21:22      0.950    14.2589  32.706074     1.5784 6.0802e+02    305.790    112.332      0.941    26.3708    19.4794    1494.24 0.0000e+00
        389 23 May 2025 11:21:24      0.950    14.2607  32.705982     1.5822 9.7300e+02    305.908    112.373      0.942    26.3695    19.4781    1494.24 0.0000e+00
        390 23 May 2025 11:21:24      0.951    14.2622  32.705997     1.5059 1.7273e+03    305.963    112.391      0.942    26.3685    19.4770    1494.25 0.0000e+00
        391 23 May 2025 11:21:24      0.952    14.2633  32.706047     1.4830 9.1889e+02    305.812    112.334      0.944    26.3678    19.4762    1494.25 0.0000e+00
        392 23 May 2025 11:21:24      0.954    14.2639  32.706043     1.4696 1.0907e+03    305.823    112.335      0.945    26.3674    19.4758    1494.25 0.0000e+00
        393 23 May 2025 11:21:24      0.957    14.2641  32.705933     1.4639 1.4086e+03    305.836    112.333      0.948    26.3672    19.4756    1494.25 0.0000e+00
        394 23 May 2025 11:21:24      0.960    14.2638  32.705711     1.4811 7.0490e+02    306.185    112.448      0.951    26.3672    19.4757    1494.25 0.0000e+00
        395 23 May 2025 11:21:25      0.964    14.2632  32.705505     1.4639 9.9470e+02    306.199    112.436      0.955    26.3674    19.4759    1494.25 0.0000e+00
        396 23 May 2025 11:21:25      0.968    14.2626  32.705471     1.4410 9.7173e+02    306.352    112.461      0.960    26.3678    19.4764    1494.25 0.0000e+00
        397 23 May 2025 11:21:25      0.974    14.2620  32.705547     1.4448 1.4362e+03    306.270    112.393      0.965    26.3682    19.4768    1494.25 0.0000e+00
        398 23 May 2025 11:21:25      0.981    14.2616  32.705605     1.4773 1.1890e+03    306.238    112.337      0.973    26.3686    19.4772    1494.24 0.0000e+00
        399 23 May 2025 11:21:25      0.991    14.2610  32.705509     1.4715 7.3911e+02    306.261    112.268      0.982    26.3689    19.4775    1494.24 0.0000e+00
