       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        343 23 May 2025 12:36:27      1.009    15.2219  33.473336     2.0855 8.5020e+02    312.760    117.123      1.000    26.3964    19.3052    1497.41 0.0000e+00
        390 23 May 2025 12:36:38      2.019    15.1796  33.426593     2.5971 5.0259e+02    311.729    115.226      2.000    26.3837    19.3041    1497.28 0.0000e+00
        402 23 May 2025 12:36:41      3.027    14.7687  33.106814     3.4636 3.3102e+02    309.457    112.971      3.000    26.3796    19.3845    1495.95 0.0000e+00
        414 23 May 2025 12:36:44      4.037    14.3065  32.815464     4.7871 2.2579e+02    298.862    106.471      4.000    26.4349    19.5193    1494.52 0.0000e+00
        425 23 May 2025 12:36:47      5.046    13.4126  32.237797     6.8658 1.5047e+02    274.970     96.549      5.000    26.5297    19.7644    1491.66 0.0000e+00
        437 23 May 2025 12:36:50      6.055    12.2789  31.634263     7.0269 1.0133e+02    251.744     87.664      6.000    26.7704    20.1579    1488.08 0.0000e+00
        448 23 May 2025 12:36:53      7.064    11.7570  31.373688     6.8817 6.5762e+01    220.346     76.496      7.000    26.8991    20.3489    1486.43 0.0000e+00
        459 23 May 2025 12:36:56      8.074    11.4266  31.211958    21.8032 4.2942e+01    180.933     62.788      8.000    26.9846    20.4716    1485.38 0.0000e+00
        471 23 May 2025 12:36:58      9.083    11.3413  31.229219    32.6460 2.4428e+01    149.573     51.880      9.000    27.0630    20.5468    1485.19 0.0000e+00
        482 23 May 2025 12:37:01     10.092    11.3124  31.288063    27.0104 1.1102e+01    150.284     51.956     10.000    27.1402    20.6116    1485.19 0.0000e+00
        494 23 May 2025 12:37:04     11.101    11.2197  31.237912    21.5617 5.6824e+00    166.032     57.250     11.000    27.1599    20.6424    1484.90 0.0000e+00
        506 23 May 2025 12:37:07     12.111    11.0707  31.132984    11.5135 3.3003e+00    176.886     60.806     12.000    27.1682    20.6737    1484.40 0.0000e+00
        517 23 May 2025 12:37:10     13.120    10.9467  31.032662     9.4313 2.1048e+00    191.047     65.505     13.000    27.1626    20.6898    1483.96 0.0000e+00
        529 23 May 2025 12:37:13     14.129    10.8189  30.932809     6.7276 1.4013e+00    205.962     70.479     14.000    27.1601    20.7088    1483.52 0.0000e+00
        541 23 May 2025 12:37:16     15.138    10.7105  30.856947     5.0923 9.6871e-01    221.896     75.835     15.000    27.1664    20.7313    1483.15 0.0000e+00
        552 23 May 2025 12:37:19     16.148    10.6246  30.799660     4.1869 6.8898e-01    227.345     77.652     16.000    27.1740    20.7511    1482.87 0.0000e+00
