       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        445 23 May 2025 09:19:55      1.009    11.7977  36.835397     1.2337 9.4512e+02    320.866    116.035      1.000    32.1048    24.3787    1492.69 0.0000e+00
        579 23 May 2025 09:20:29      2.018    11.3483  37.489343     1.2599 1.1884e+02    326.446    117.463      2.000    33.1371    25.2627    1492.38 0.0000e+00
        590 23 May 2025 09:20:31      3.027    11.1799  37.645259     1.0190 2.6291e+02    325.826    116.992      3.000    33.4433    25.5312    1492.17 0.0000e+00
        604 23 May 2025 09:20:35      4.037    10.9972  37.634033     1.1283 4.0394e+02    326.005    117.059      4.000    33.5983    25.6846    1491.74 0.0000e+00
        617 23 May 2025 09:20:38      5.046    10.9972  37.637050     1.1840 3.3418e+02    325.918    116.990      5.000    33.6008    25.6866    1491.76 0.0000e+00
        631 23 May 2025 09:20:42      6.055    10.9874  37.628015     1.3176 2.7648e+02    324.992    116.455      6.000    33.6004    25.6880    1491.74 0.0000e+00
        644 23 May 2025 09:20:45      7.064    10.9405  37.576385     1.3599 2.3504e+02    322.915    115.485      7.000    33.5915    25.6895    1491.58 0.0000e+00
        658 23 May 2025 09:20:48      8.074    10.8437  37.496380     1.8306 1.9800e+02    320.973    114.556      8.000    33.6001    25.7134    1491.27 0.0000e+00
        671 23 May 2025 09:20:52      9.083    10.7311  37.409586     2.0816 1.7762e+02    319.943    114.123      9.000    33.6165    25.7460    1490.90 0.0000e+00
        684 23 May 2025 09:20:55     10.092    10.6864  37.380360     3.0477 1.5063e+02    319.031    113.726     10.000    33.6279    25.7628    1490.78 0.0000e+00
        697 23 May 2025 09:20:58     11.101    10.6589  37.366121     2.6157 1.2532e+02    320.240    114.079     11.000    33.6385    25.7759    1490.71 0.0000e+00
        710 23 May 2025 09:21:01     12.111    10.6312  37.352423     3.6339 1.0420e+02    321.274    114.285     12.000    33.6499    25.7897    1490.64 0.0000e+00
        723 23 May 2025 09:21:04     13.120    10.5692  37.299032     4.0911 8.7891e+01    318.557    113.236     13.000    33.6531    25.8030    1490.44 0.0000e+00
        736 23 May 2025 09:21:08     14.129    10.5205  37.261964     4.3330 7.1147e+01    314.491    111.715     14.000    33.6604    25.8172    1490.30 0.0000e+00
        749 23 May 2025 09:21:11     15.138    10.4915  37.241045     3.8599 5.8241e+01    313.545    111.252     15.000    33.6657    25.8263    1490.22 0.0000e+00
        762 23 May 2025 09:21:14     16.147    10.4416  37.194290     3.6785 4.8810e+01    312.279    110.755     16.000    33.6644    25.8340    1490.05 0.0000e+00
        775 23 May 2025 09:21:18     17.157    10.4113  37.172236     2.2378 4.0163e+01    310.579    110.097     17.000    33.6697    25.8434    1489.97 0.0000e+00
        788 23 May 2025 09:21:21     18.166    10.3867  37.149869     2.5394 3.3644e+01    309.744    109.780     18.000    33.6695    25.8475    1489.90 0.0000e+00
        801 23 May 2025 09:21:24     19.175    10.3744  37.142370     2.4436 2.8522e+01    308.238    109.175     19.000    33.6729    25.8523    1489.87 0.0000e+00
        814 23 May 2025 09:21:27     20.185    10.3535  37.119782     1.8118 2.3762e+01    305.896    108.312     20.000    33.6690    25.8529    1489.81 0.0000e+00
        827 23 May 2025 09:21:30     21.194    10.3294  37.101882     2.7905 1.9819e+01    304.742    107.812     21.000    33.6728    25.8600    1489.75 0.0000e+00
        840 23 May 2025 09:21:34     22.203    10.3131  37.082180     2.2377 1.7037e+01    298.929    105.533     22.000    33.6676    25.8588    1489.70 0.0000e+00
        853 23 May 2025 09:21:37     23.212    10.2266  36.984323     2.6280 1.4701e+01    296.089    104.495     23.000    33.6484    25.8586    1489.38 0.0000e+00
        866 23 May 2025 09:21:40     24.222    10.1775  36.949932     2.8642 1.2518e+01    296.239    104.533     24.000    33.6587    25.8751    1489.23 0.0000e+00
        879 23 May 2025 09:21:44     25.231    10.1756  36.948587     2.3225 1.0580e+01    295.983    104.427     25.000    33.6586    25.8753    1489.24 0.0000e+00
        893 23 May 2025 09:21:47     26.240    10.1652  36.940821     3.2371 8.9675e+00    295.139    104.112     26.000    33.6600    25.8781    1489.22 0.0000e+00
        906 23 May 2025 09:21:50     27.250    10.1597  36.936268     2.8341 7.4692e+00    291.022    102.630     27.000    33.6600    25.8792    1489.22 0.0000e+00
        919 23 May 2025 09:21:53     28.259    10.1491  36.926826     3.7541 6.1684e+00    285.816    100.774     28.000    33.6599    25.8809    1489.20 0.0000e+00
        932 23 May 2025 09:21:57     29.269    10.1364  36.917668     4.4601 5.1461e+00    283.027     99.781     29.000    33.6619    25.8846    1489.17 0.0000e+00
